sep=,
Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3,
803819,1,2019-08-29,10:02:20,,,1C,No,,,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
803819,2,2019-08-29,10:06:41,Soil,,2,No,,,PPM,,,,62,116,,,,-24,21,,,,-5,9,,,,-11,2,,,,3,1,,,,1,0,,,,-1,1,,,,3,1,,,,9,3,,,,-2,2,,,,-3,1,,,,-0,1,,,,-0,1,,,,1,0,,,,-0,0,,,,-0,0,,,,-1,1,,,,0,1,,,,1,1,,,,-1,1,,,,-2,1,,,,1,1,,,,-1,1,,,,-1,3,,,,1,3,,,,-3,8,,,,-15,19,,,,2,39,,,,-108,50,,,,-26,111,,,,-4,6,,,,0,1,,,,-1,1,,,,-1,1,,,,1,1,,,,-2,2,,,,4,2,1,30,30,30,
803819,3,2019-08-29,10:08:45,Soil,,3,No,,,PPM,,,,1730,479,,,,1238,75,,,,27075,127,,,,24515,103,,,,2938,17,,,,92,2,,,,58,2,,,,677,5,,,,27923,103,,,,-40,17,,,,31,2,,,,135,3,,,,413,4,,,,111,5,,,,3,1,,,,123,1,,,,231,5,,,,25,3,,,,262,5,,,,18,1,,,,5,2,,,,4,2,,,,54,2,,,,12,4,,,,30,4,,,,514,13,,,,-2,23,,,,93,47,,,,-410,62,,,,-463,137,,,,22,11,,,,10,3,,,,10,2,,,,1419,7,,,,0,2,,,,16,3,,,,-1,3,2.0,30,30,30,
803819,4,2019-08-29,10:10:51,Soil,,4,No,,,PPM,,,,2633,118,,,,776,22,,,,4087,19,,,,253,5,,,,5,1,,,,-2,0,,,,-13,0,,,,21,1,,,,16,2,,,,-16,1,,,,-12,1,,,,-3,0,,,,20,1,,,,-1,0,,,,-2,0,,,,5,0,,,,4,1,,,,-1,1,,,,-2,1,,,,-1,0,,,,-3,1,,,,0,1,,,,-3,2,,,,-30,3,,,,-8,3,,,,12,8,,,,-16,16,,,,-7,33,,,,-122,42,,,,8,90,,,,-5,6,,,,-13,1,,,,-5,0,,,,-2,0,,,,-18,1,,,,-5,1,,,,-1,1,3.0,30,30,30,
803819,5,2019-08-29,10:13:36,Soil,,5,No,,,PPM,,,,2854,121,,,,855,23,,,,4014,19,,,,305,5,,,,3,1,,,,-3,0,,,,-14,0,,,,43,1,,,,17,2,,,,-14,1,,,,-12,1,,,,-4,0,,,,21,1,,,,-1,0,,,,-2,0,,,,6,0,,,,3,1,,,,-0,1,,,,1,1,,,,-1,0,,,,-1,1,,,,-3,1,,,,-3,2,,,,-23,3,,,,-3,3,,,,20,8,,,,6,16,,,,45,33,,,,-65,42,,,,94,90,,,,-8,6,,,,-13,1,,,,-4,0,,,,-2,0,,,,-17,1,,,,-5,1,,,,1,1,4.0,30,30,30,
803819,6,2019-08-29,10:15:28,Soil,,6,No,,,PPM,,,,3954,136,,,,764,22,,,,4532,20,,,,262,5,,,,2,1,,,,-3,0,,,,-14,0,,,,62,1,,,,39,2,,,,-15,1,,,,-13,1,,,,-5,0,,,,18,1,,,,-1,0,,,,-2,0,,,,6,0,,,,3,1,,,,-2,1,,,,-1,1,,,,-1,0,,,,2,1,,,,-2,1,,,,-2,2,,,,-31,3,,,,-2,3,,,,21,8,,,,-34,17,,,,-24,33,,,,-104,42,,,,92,91,,,,-14,5,,,,-12,1,,,,-5,0,,,,-3,0,,,,-17,1,,,,-3,1,,,,-0,1,5.0,30,30,30,
803819,7,2019-08-29,10:17:17,Soil,,7,No,,,PPM,,,,3453,130,,,,948,24,,,,5387,22,,,,314,5,,,,1,1,,,,-3,0,,,,-14,0,,,,44,1,,,,37,2,,,,-14,1,,,,-13,1,,,,-7,0,,,,18,1,,,,-1,0,,,,-3,0,,,,12,0,,,,6,1,,,,-1,1,,,,-1,1,,,,0,0,,,,-2,1,,,,-1,1,,,,-0,2,,,,-30,3,,,,-3,3,,,,17,8,,,,2,16,,,,-34,33,,,,-25,42,,,,69,90,,,,-13,5,,,,-12,1,,,,-5,0,,,,-2,0,,,,-18,1,,,,-5,1,,,,1,1,6.0,30,30,30,
803819,8,2019-08-29,10:19:09,Soil,,8,No,,,PPM,,,,4968,151,,,,985,25,,,,5571,23,,,,291,5,,,,2,1,,,,-3,0,,,,-14,0,,,,78,1,,,,29,2,,,,-14,1,,,,-12,1,,,,-4,0,,,,26,1,,,,-1,0,,,,-2,0,,,,14,0,,,,4,1,,,,-2,1,,,,-1,1,,,,-0,0,,,,-1,1,,,,-0,1,,,,-1,2,,,,-22,3,,,,-1,3,,,,16,8,,,,-40,16,,,,60,33,,,,-9,42,,,,214,91,,,,-15,5,,,,-11,1,,,,-5,0,,,,-2,0,,,,-17,1,,,,-3,1,,,,0,1,7.0,30,30,30,
803819,9,2019-08-29,10:20:58,Soil,,9,No,,,PPM,,,,2769,121,,,,1046,25,,,,4070,19,,,,384,5,,,,6,1,,,,-3,0,,,,-14,0,,,,60,1,,,,21,2,,,,-15,1,,,,-12,1,,,,-2,1,,,,33,1,,,,-1,0,,,,-2,0,,,,7,0,,,,7,1,,,,-1,1,,,,-0,1,,,,-1,0,,,,-2,1,,,,-1,1,,,,-2,2,,,,-25,3,,,,-4,3,,,,19,8,,,,-16,16,,,,9,33,,,,6,42,,,,-38,90,,,,2,6,,,,-12,1,,,,-5,0,,,,-2,0,,,,-18,1,,,,-4,1,,,,1,1,8.0,30,30,30,
803819,10,2019-08-29,10:22:47,Soil,,10,No,,,PPM,,,,3361,129,,,,826,23,,,,5420,22,,,,327,5,,,,6,1,,,,-2,0,,,,-14,0,,,,29,1,,,,22,2,,,,-14,1,,,,-12,1,,,,-0,1,,,,19,1,,,,-1,0,,,,-2,0,,,,8,0,,,,4,1,,,,-2,1,,,,0,1,,,,-1,0,,,,-2,1,,,,-3,1,,,,0,2,,,,-26,3,,,,-4,3,,,,4,8,,,,-11,16,,,,31,33,,,,-2,41,,,,-11,89,,,,-7,5,,,,-11,1,,,,-5,0,,,,-2,0,,,,-15,1,,,,-4,1,,,,0,1,9.0,30,30,30,
803819,11,2019-08-29,10:24:37,Soil,,11,No,,,PPM,,,,2520,115,,,,908,23,,,,4256,19,,,,236,5,,,,6,1,,,,-2,0,,,,-15,0,,,,63,1,,,,14,2,,,,-14,1,,,,-12,1,,,,-4,0,,,,25,1,,,,-1,0,,,,-3,0,,,,6,0,,,,3,1,,,,-1,1,,,,-1,1,,,,-1,0,,,,-2,1,,,,-2,1,,,,-3,2,,,,-25,3,,,,-8,3,,,,11,8,,,,-38,16,,,,-89,33,,,,-99,41,,,,85,89,,,,-16,5,,,,-11,1,,,,-5,0,,,,-2,0,,,,-17,1,,,,-3,1,,,,-1,1,10.0,30,30,30,
803819,12,2019-08-29,10:26:26,Soil,,12,No,,,PPM,,,,3031,122,,,,794,22,,,,4124,19,,,,284,5,,,,4,1,,,,-2,0,,,,-14,0,,,,50,1,,,,17,2,,,,-14,1,,,,-11,1,,,,-3,0,,,,24,1,,,,-1,0,,,,-2,0,,,,5,0,,,,6,1,,,,-1,1,,,,-0,1,,,,-1,0,,,,-0,1,,,,-1,1,,,,0,2,,,,-26,3,,,,-1,3,,,,13,8,,,,-17,16,,,,-46,33,,,,-91,41,,,,-280,89,,,,-10,5,,,,-12,1,,,,-4,0,,,,-3,0,,,,-15,1,,,,-2,1,,,,-1,1,11.0,30,30,30,
803819,13,2019-08-29,10:28:22,Soil,,13,No,,,PPM,,,,2699,119,,,,809,23,,,,4974,21,,,,300,5,,,,5,1,,,,-2,0,,,,-15,0,,,,41,1,,,,13,2,,,,-14,1,,,,-12,1,,,,-2,1,,,,19,1,,,,-1,0,,,,-3,0,,,,6,0,,,,9,1,,,,-1,1,,,,-1,1,,,,0,0,,,,-2,1,,,,-3,1,,,,-2,2,,,,-28,3,,,,-5,3,,,,18,8,,,,9,16,,,,38,33,,,,-41,42,,,,-10,90,,,,-13,5,,,,-12,1,,,,-5,0,,,,-1,0,,,,-18,1,,,,-4,1,,,,-0,1,12.0,30,30,30,
803819,14,2019-08-29,10:30:12,Soil,,14,No,,,PPM,,,,3879,134,,,,976,24,,,,3922,18,,,,234,5,,,,4,1,,,,-3,0,,,,-14,0,,,,32,1,,,,30,2,,,,-15,1,,,,-10,1,,,,-0,1,,,,19,1,,,,-1,0,,,,-2,0,,,,8,0,,,,1,1,,,,-1,1,,,,-1,1,,,,-1,0,,,,-0,1,,,,-1,1,,,,-2,2,,,,-24,3,,,,-6,3,,,,8,8,,,,-20,17,,,,-28,33,,,,-9,42,,,,105,91,,,,-7,6,,,,-12,1,,,,-6,0,,,,-1,0,,,,-16,1,,,,-2,1,,,,-1,1,13.0,30,30,30,
