sep=,
Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3,
803819,1,2019-09-09,15:09:04,,,1C,No,,,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
803819,2,2019-09-09,15:14:12,Soil,,2,No,,,PPM,,,,0,114,,,,-14,21,,,,5,9,,,,-11,3,,,,3,1,,,,1,0,,,,2,1,,,,2,1,,,,5,3,,,,1,2,,,,-1,1,,,,0,1,,,,-1,1,,,,-0,0,,,,-0,0,,,,-0,0,,,,-0,1,,,,0,1,,,,0,1,,,,-0,1,,,,-3,1,,,,-0,1,,,,0,1,,,,3,3,,,,4,3,,,,4,8,,,,-29,19,,,,-5,39,,,,12,51,,,,302,111,,,,-11,6,,,,-1,1,,,,0,1,,,,0,1,,,,1,1,,,,-3,2,,,,4,2,1,30,30,30,
803819,3,2019-09-09,15:16:11,Soil,,3,No,,,PPM,,,,1472,475,,,,1403,77,,,,26664,126,,,,24091,102,,,,3021,17,,,,88,2,,,,60,2,,,,679,5,,,,27800,103,,,,-31,17,,,,28,2,,,,133,3,,,,407,4,,,,115,5,,,,2,1,,,,122,1,,,,229,5,,,,27,3,,,,264,5,,,,17,1,,,,4,2,,,,6,2,,,,50,2,,,,9,4,,,,24,4,,,,524,13,,,,14,23,,,,173,48,,,,-383,63,,,,-347,140,,,,8,11,,,,14,3,,,,10,2,,,,1405,7,,,,-1,2,,,,16,3,,,,5,3,2.0,30,30,30,
803819,4,2019-09-09,15:18:33,Soil,,4,No,,,PPM,,,,3783,137,,,,806,23,,,,5164,22,,,,339,5,,,,2,1,,,,-3,0,,,,-14,0,,,,40,1,,,,24,2,,,,-14,1,,,,-12,1,,,,-3,1,,,,19,1,,,,-1,0,,,,-2,0,,,,6,0,,,,3,1,,,,-1,1,,,,2,1,,,,-1,0,,,,-3,1,,,,-3,1,,,,1,2,,,,-33,3,,,,-5,3,,,,7,8,,,,-37,17,,,,-4,33,,,,-5,42,,,,13,91,,,,-7,6,,,,-12,1,,,,-5,0,,,,-2,0,,,,-18,1,,,,-6,1,,,,-2,1,3.0,30,30,30,
803819,5,2019-09-09,15:20:21,Soil,,5,No,,,PPM,,,,3453,130,,,,911,24,,,,4796,20,,,,338,5,,,,5,1,,,,-3,0,,,,-14,0,,,,54,1,,,,23,2,,,,-14,1,,,,-12,1,,,,0,1,,,,31,1,,,,-1,0,,,,-2,0,,,,6,0,,,,2,1,,,,-1,1,,,,-1,1,,,,-1,0,,,,0,1,,,,-1,1,,,,-0,2,,,,-24,3,,,,-2,3,,,,34,8,,,,-3,16,,,,-37,33,,,,-14,42,,,,224,89,,,,-20,5,,,,-13,1,,,,-5,0,,,,-2,0,,,,-18,1,,,,-2,1,,,,0,1,4.0,30,30,30,
803819,6,2019-09-09,15:22:10,Soil,,6,No,,,PPM,,,,2278,114,,,,1047,25,,,,3757,18,,,,408,5,,,,2,1,,,,-3,0,,,,-13,0,,,,41,1,,,,46,2,,,,-15,1,,,,-12,1,,,,3,1,,,,28,1,,,,-1,0,,,,-2,0,,,,7,0,,,,9,1,,,,-0,1,,,,0,1,,,,-1,0,,,,-2,1,,,,0,1,,,,2,2,,,,-26,3,,,,-6,3,,,,23,8,,,,-1,17,,,,45,34,,,,-76,43,,,,200,94,,,,-17,5,,,,-11,1,,,,-5,0,,,,-2,0,,,,-20,1,,,,-4,1,,,,2,2,5.0,30,30,30,
803819,7,2019-09-09,15:23:58,Soil,,7,No,,,PPM,,,,3807,136,,,,906,24,,,,5946,23,,,,302,5,,,,-0,1,,,,-3,0,,,,-15,0,,,,58,1,,,,37,2,,,,-13,1,,,,-13,1,,,,-6,0,,,,19,1,,,,-1,0,,,,-2,0,,,,11,0,,,,5,1,,,,-1,1,,,,-2,1,,,,-1,0,,,,-3,1,,,,0,1,,,,-1,2,,,,-22,3,,,,-5,3,,,,14,8,,,,-29,16,,,,27,33,,,,-4,42,,,,2,90,,,,-11,5,,,,-12,1,,,,-5,0,,,,-1,0,,,,-19,1,,,,1,1,,,,-0,1,6.0,30,30,30,
803819,8,2019-09-09,15:25:46,Soil,,8,No,,,PPM,,,,3347,128,,,,958,24,,,,4450,19,,,,296,5,,,,2,1,,,,-3,0,,,,-14,0,,,,38,1,,,,26,2,,,,-15,1,,,,-11,1,,,,-2,1,,,,25,1,,,,-1,0,,,,-2,0,,,,5,0,,,,4,1,,,,-1,1,,,,-1,1,,,,-0,0,,,,-2,1,,,,-1,1,,,,-4,2,,,,-22,3,,,,-7,3,,,,14,8,,,,-28,16,,,,3,33,,,,-61,42,,,,7,90,,,,-7,6,,,,-13,1,,,,-5,0,,,,-2,0,,,,-17,1,,,,-3,1,,,,1,1,7.0,30,30,30,
803819,9,2019-09-09,15:27:43,Soil,,9,No,,,PPM,,,,3128,126,,,,837,23,,,,4666,20,,,,390,5,,,,3,1,,,,-2,0,,,,-14,0,,,,30,1,,,,23,2,,,,-15,1,,,,-11,1,,,,-1,1,,,,21,1,,,,-1,0,,,,-2,0,,,,8,0,,,,7,1,,,,-0,1,,,,-0,1,,,,-0,0,,,,-1,1,,,,1,1,,,,-2,2,,,,-24,3,,,,-1,3,,,,28,8,,,,-27,17,,,,34,33,,,,-40,42,,,,91,91,,,,-14,5,,,,-13,1,,,,-5,0,,,,-2,0,,,,-17,1,,,,-4,1,,,,-2,1,8.0,30,30,30,
803819,10,2019-09-09,15:29:33,Soil,,10,No,,,PPM,,,,3360,132,,,,1023,26,,,,4771,21,,,,246,5,,,,1,1,,,,-3,0,,,,-14,0,,,,49,1,,,,33,2,,,,-14,1,,,,-12,1,,,,-6,0,,,,19,1,,,,-1,0,,,,-2,0,,,,12,0,,,,7,1,,,,-0,1,,,,-1,1,,,,-1,0,,,,-2,1,,,,-2,1,,,,-2,2,,,,-26,3,,,,-4,3,,,,8,8,,,,-13,17,,,,-5,35,,,,-88,44,,,,88,95,,,,-5,6,,,,-12,1,,,,-4,0,,,,-2,0,,,,-20,1,,,,-2,1,,,,1,2,9.0,30,30,30,
803819,11,2019-09-09,15:31:21,Soil,,11,No,,,PPM,,,,3195,128,,,,891,24,,,,5579,23,,,,275,5,,,,2,1,,,,-3,0,,,,-14,0,,,,33,1,,,,24,2,,,,-14,1,,,,-12,1,,,,-4,0,,,,29,1,,,,-1,0,,,,-2,0,,,,7,0,,,,5,1,,,,-0,1,,,,0,1,,,,0,0,,,,-1,1,,,,-2,1,,,,-4,2,,,,-24,3,,,,-1,3,,,,26,8,,,,-1,17,,,,-4,34,,,,-50,42,,,,70,92,,,,-21,5,,,,-11,1,,,,-4,0,,,,-2,0,,,,-18,1,,,,-3,1,,,,-0,1,10.0,30,30,30,
803819,12,2019-09-09,15:33:10,Soil,,12,No,,,PPM,,,,3938,137,,,,900,24,,,,4469,20,,,,302,5,,,,4,1,,,,-3,0,,,,-14,0,,,,30,1,,,,32,2,,,,-14,1,,,,-12,1,,,,-2,1,,,,20,1,,,,-1,0,,,,-1,0,,,,10,0,,,,5,1,,,,-2,1,,,,-1,1,,,,0,0,,,,1,1,,,,-0,1,,,,0,2,,,,-21,3,,,,-4,3,,,,15,8,,,,-24,16,,,,19,33,,,,-38,42,,,,50,91,,,,-7,6,,,,-12,1,,,,-5,0,,,,-1,0,,,,-18,1,,,,-5,1,,,,-4,1,11.0,30,30,30,
803819,13,2019-09-09,15:34:58,Soil,,13,No,,,PPM,,,,2877,121,,,,888,23,,,,4381,19,,,,246,5,,,,4,1,,,,-3,0,,,,-14,0,,,,45,1,,,,27,2,,,,-15,1,,,,-12,1,,,,-6,0,,,,11,0,,,,-1,0,,,,-2,0,,,,9,0,,,,4,1,,,,-1,1,,,,-0,1,,,,-1,0,,,,-0,1,,,,0,1,,,,-2,2,,,,-25,3,,,,-6,3,,,,3,8,,,,-17,17,,,,-9,33,,,,-38,42,,,,-138,91,,,,0,6,,,,-13,1,,,,-4,0,,,,-2,0,,,,-16,1,,,,-1,1,,,,-1,1,12.0,30,30,30,
803819,14,2019-09-09,15:36:46,Soil,,14,No,,,PPM,,,,3720,133,,,,781,23,,,,4637,20,,,,271,5,,,,3,1,,,,-3,0,,,,-15,0,,,,43,1,,,,23,2,,,,-14,1,,,,-12,1,,,,-4,0,,,,15,1,,,,-1,0,,,,-2,0,,,,6,0,,,,8,1,,,,-1,1,,,,-0,1,,,,-1,0,,,,-0,1,,,,-1,1,,,,-2,2,,,,-23,3,,,,-1,3,,,,13,8,,,,11,17,,,,-55,33,,,,-47,42,,,,287,91,,,,-5,6,,,,-12,1,,,,-5,0,,,,-2,0,,,,-17,1,,,,-2,1,,,,-0,1,13.0,30,30,30,
803819,15,2019-09-09,15:38:34,Soil,,15,No,,,PPM,,,,3401,131,,,,882,24,,,,4563,20,,,,273,5,,,,3,1,,,,-3,0,,,,-15,0,,,,18,1,,,,19,2,,,,-14,1,,,,-12,1,,,,-2,1,,,,21,1,,,,-1,0,,,,-2,0,,,,6,0,,,,2,1,,,,-1,1,,,,-1,1,,,,-1,0,,,,-2,1,,,,-3,1,,,,-0,2,,,,-28,3,,,,-3,3,,,,-6,8,,,,-11,17,,,,51,34,,,,-39,43,,,,42,93,,,,-1,6,,,,-12,1,,,,-5,0,,,,-1,0,,,,-20,1,,,,-3,1,,,,-1,2,14.0,30,30,30,
803819,16,2019-09-09,15:40:22,Soil,,16,No,,,PPM,,,,3224,127,,,,891,24,,,,4564,20,,,,318,5,,,,4,1,,,,-2,0,,,,-14,0,,,,37,1,,,,22,2,,,,-14,1,,,,-12,1,,,,-2,1,,,,21,1,,,,-1,0,,,,-2,0,,,,4,0,,,,4,1,,,,-0,1,,,,-0,1,,,,-1,0,,,,-1,1,,,,-2,1,,,,-1,2,,,,-22,3,,,,-3,3,,,,16,8,,,,-25,17,,,,-64,33,,,,-27,42,,,,37,91,,,,-14,5,,,,-11,1,,,,-5,0,,,,-2,0,,,,-19,1,,,,-4,1,,,,1,1,15.0,30,30,30,
