Instrument Serial Num,Reading_No,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3
803819,11,26/08/2019,10:07:55,Soil,,11,No,,,PPM,,,,395,157,,,,752,34,,,,24972,83,,,,3119,20,,,,55,1,,,,9,0,,,,13,1,,,,233,2,,,,157,5,,,,-13,2,,,,-7,1,,,,-4,1,,,,3,1,,,,-2,0,,,,-3,0,,,,17,0,,,,52,4,,,,-4,2,,,,-1,2,,,,2,1,,,,-2,3,,,,1,2,,,,2,3,,,,-28,6,,,,-4,6,,,,115,15,,,,7,30,,,,65,61,,,,-15,78,,,,-58,167,,,,-22,13,,,,-10,1,,,,-4,1,,,,2,1,,,,-39,2,,,,-5,4,,,,-6,4,10,30,30,30
803819,12,26/08/2019,10:09:42,Soil,,12,No,,,PPM,,,,404,153,,,,590,32,,,,23137,80,,,,2457,18,,,,35,1,,,,6,0,,,,14,1,,,,92,1,,,,162,5,,,,-16,2,,,,-7,1,,,,-3,1,,,,-2,1,,,,-2,0,,,,-2,0,,,,15,0,,,,28,3,,,,-2,2,,,,0,2,,,,1,1,,,,4,3,,,,-3,2,,,,2,3,,,,-21,6,,,,-8,6,,,,116,15,,,,7,31,,,,44,62,,,,-132,79,,,,146,169,,,,-3,14,,,,-9,1,,,,-4,1,,,,2,1,,,,-42,2,,,,2,4,,,,-6,4,11,30,30,30
803819,13,26/08/2019,10:11:30,Soil,,13,No,,,PPM,,,,367,170,,,,722,35,,,,20234,75,,,,4085,23,,,,60,2,,,,7,0,,,,20,1,,,,208,2,,,,298,6,,,,-17,2,,,,-5,1,,,,-3,1,,,,3,1,,,,-2,0,,,,-3,0,,,,13,0,,,,50,4,,,,2,2,,,,2,2,,,,1,1,,,,1,3,,,,3,3,,,,3,3,,,,-25,6,,,,-5,6,,,,154,16,,,,-2,33,,,,-109,66,,,,-114,84,,,,37,183,,,,0,16,,,,-10,1,,,,-4,1,,,,2,1,,,,-40,2,,,,-4,4,,,,1,5,12,30,30,30
803819,14,26/08/2019,10:13:20,Soil,,14,No,,,PPM,,,,177,151,,,,956,36,,,,23334,78,,,,3275,20,,,,41,1,,,,5,0,,,,11,1,,,,166,2,,,,199,5,,,,-14,2,,,,-8,1,,,,-5,1,,,,0,1,,,,-2,0,,,,-2,0,,,,19,0,,,,63,4,,,,-1,2,,,,0,2,,,,0,1,,,,9,3,,,,-6,2,,,,-6,3,,,,-26,6,,,,-6,6,,,,115,15,,,,-21,30,,,,-39,61,,,,-194,77,,,,-137,167,,,,-14,13,,,,-9,1,,,,-5,1,,,,2,1,,,,-38,2,,,,1,4,,,,-1,4,13,30,30,30
803819,15,26/08/2019,10:15:07,Soil,,15,No,,,PPM,,,,249,164,,,,929,37,,,,20093,73,,,,4117,23,,,,91,2,,,,7,0,,,,16,1,,,,145,2,,,,520,7,,,,-16,2,,,,-7,1,,,,-2,1,,,,3,1,,,,-3,0,,,,-3,0,,,,15,0,,,,58,4,,,,2,2,,,,2,2,,,,0,1,,,,0,3,,,,-4,3,,,,-1,3,,,,-13,6,,,,5,6,,,,137,15,,,,-5,32,,,,39,64,,,,-146,80,,,,-24,174,,,,-1,15,,,,-7,1,,,,-4,1,,,,4,1,,,,-40,2,,,,3,4,,,,5,4,14,30,30,30
803819,16,26/08/2019,10:16:58,Soil,,16,No,,,PPM,,,,1410,191,,,,1319,43,,,,36811,116,,,,3173,22,,,,45,1,,,,5,0,,,,16,1,,,,279,2,,,,273,6,,,,-13,2,,,,-5,1,,,,-1,1,,,,3,1,,,,-2,0,,,,-3,0,,,,27,0,,,,45,4,,,,-1,2,,,,0,2,,,,2,1,,,,-4,3,,,,-3,3,,,,3,3,,,,-23,6,,,,-1,6,,,,125,15,,,,-23,31,,,,-2,63,,,,-135,80,,,,-208,173,,,,18,15,,,,-10,1,,,,-4,1,,,,1,1,,,,-39,2,,,,1,4,,,,11,5,15,30,30,30
803819,17,26/08/2019,10:18:59,Soil,,17,No,,,PPM,,,,738,161,,,,913,36,,,,26812,89,,,,2437,19,,,,40,1,,,,3,0,,,,16,1,,,,76,1,,,,265,5,,,,-17,2,,,,-7,1,,,,-4,1,,,,-1,1,,,,-2,0,,,,-3,0,,,,17,0,,,,25,3,,,,0,2,,,,-2,2,,,,0,1,,,,2,3,,,,-4,3,,,,-4,3,,,,-19,6,,,,6,6,,,,137,15,,,,4,30,,,,1,62,,,,9,78,,,,202,169,,,,32,15,,,,-8,1,,,,-4,1,,,,2,1,,,,-40,2,,,,5,4,,,,-1,4,16,30,30,30
803819,18,26/08/2019,10:20:49,Soil,,18,No,,,PPM,,,,1045,186,,,,1215,42,,,,32949,107,,,,3451,23,,,,45,1,,,,6,0,,,,18,1,,,,247,2,,,,213,5,,,,-16,2,,,,-8,1,,,,-1,1,,,,2,1,,,,-2,0,,,,-3,0,,,,19,0,,,,38,3,,,,2,2,,,,1,2,,,,-1,1,,,,-3,3,,,,2,3,,,,1,3,,,,-17,6,,,,-5,6,,,,110,16,,,,-14,32,,,,59,64,,,,-70,82,,,,182,175,,,,48,17,,,,-9,1,,,,-4,1,,,,2,1,,,,-41,2,,,,4,4,,,,9,5,17,30,30,30
803819,19,26/08/2019,10:22:37,Soil,,19,No,,,PPM,,,,662,158,,,,843,35,,,,24146,82,,,,2595,19,,,,50,1,,,,7,0,,,,13,1,,,,183,2,,,,225,5,,,,-15,2,,,,-8,1,,,,-2,1,,,,4,1,,,,-3,0,,,,-3,0,,,,13,0,,,,41,3,,,,0,2,,,,2,2,,,,2,1,,,,-2,3,,,,-4,3,,,,-6,3,,,,-30,6,,,,-12,6,,,,145,15,,,,21,31,,,,30,63,,,,-71,79,,,,89,171,,,,37,16,,,,-9,1,,,,-3,1,,,,2,1,,,,-38,2,,,,1,4,,,,2,4,18,30,30,30
803819,20,26/08/2019,10:24:26,Soil,,20,No,,,PPM,,,,710,181,,,,1186,40,,,,22395,79,,,,5010,25,,,,46,1,,,,6,0,,,,17,1,,,,288,2,,,,204,5,,,,-12,2,,,,-5,1,,,,-4,1,,,,0,1,,,,-3,0,,,,-3,0,,,,15,0,,,,57,4,,,,-3,2,,,,0,2,,,,2,1,,,,4,3,,,,-2,3,,,,0,3,,,,-25,6,,,,-3,6,,,,115,15,,,,-25,31,,,,20,63,,,,-129,79,,,,-36,171,,,,38,16,,,,-9,1,,,,-4,1,,,,4,1,,,,-39,2,,,,3,4,,,,-6,4,19,30,30,30
