Instrument Serial Num,Reading_No,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,PConcentration,P_Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3
803819,11,22/08/2019,10:26:40,Soil,,11,No,,,PPM,,,,666,158,,,,977,36,,,,19739,69,,,,3415,20,,,,28,1,,,,3,0,,,,9,1,,,,70,1,,,,138,4,,,,-13,2,,,,-8,1,,,,-3,1,,,,-1,1,,,,-2,0,,,,-2,0,,,,20,0,,,,44,3,,,,0,2,,,,3,2,,,,1,1,,,,2,3,,,,2,2,,,,3,3,,,,-23,6,,,,-1,6,,,,93,14,,,,-7,30,,,,24,60,,,,-6,76,,,,29,164,,,,23,14,,,,-9,1,,,,-4,1,,,,1,1,,,,-35,1,,,,-4,4,,,,-2,4,10,30,30,30
803819,12,22/08/2019,10:28:49,Soil,,12,No,,,PPM,,,,3569,221,,,,1181,40,,,,31929,101,,,,3467,22,,,,77,2,,,,5,0,,,,14,1,,,,113,1,,,,507,7,,,,-14,2,,,,-4,1,,,,-3,1,,,,7,1,,,,-2,0,,,,-2,0,,,,19,0,,,,46,3,,,,-2,2,,,,7,2,,,,2,1,,,,3,3,,,,-2,2,,,,-2,3,,,,-27,6,,,,-13,6,,,,98,15,,,,-42,30,,,,60,61,,,,-146,77,,,,57,166,,,,6,14,,,,-11,1,,,,-4,1,,,,2,1,,,,-36,1,,,,-1,4,,,,5,4,11,30,30,30
803819,13,22/08/2019,10:30:49,Soil,,13,No,,,PPM,,,,513,165,,,,1367,43,,,,29054,99,,,,2362,19,,,,34,1,,,,4,0,,,,11,1,,,,77,1,,,,178,5,,,,-12,2,,,,-9,1,,,,-2,1,,,,1,1,,,,-3,0,,,,-3,0,,,,11,0,,,,42,4,,,,2,2,,,,-1,2,,,,2,2,,,,9,4,,,,-2,3,,,,-9,3,,,,-29,7,,,,-3,7,,,,125,17,,,,-81,35,,,,-4,69,,,,-208,88,,,,-105,191,,,,15,17,,,,-6,1,,,,-4,1,,,,3,1,,,,-43,2,,,,0,4,,,,0,5,12,30,30,30
803819,14,22/08/2019,10:32:39,Soil,,14,No,,,PPM,,,,347,176,,,,1134,41,,,,42034,129,,,,3449,23,,,,33,1,,,,4,0,,,,12,1,,,,80,1,,,,223,5,,,,-13,2,,,,-4,1,,,,2,1,,,,3,1,,,,-2,0,,,,-2,0,,,,14,0,,,,26,3,,,,-1,2,,,,3,2,,,,0,1,,,,3,3,,,,0,2,,,,-4,3,,,,-23,6,,,,-7,6,,,,118,15,,,,-33,30,,,,-53,61,,,,-94,78,,,,-312,169,,,,17,15,,,,-10,1,,,,-4,1,,,,2,1,,,,-33,2,,,,2,4,,,,-4,4,13,30,30,30
803819,15,22/08/2019,10:35:17,Soil,,15,No,,,PPM,,,,368,176,,,,540,33,,,,24139,85,,,,4669,25,,,,50,1,,,,8,0,,,,15,1,,,,131,2,,,,174,5,,,,-16,2,,,,-8,1,,,,-1,1,,,,2,1,,,,-3,0,,,,-2,0,,,,11,0,,,,42,4,,,,-1,2,,,,-2,2,,,,0,1,,,,-3,3,,,,-5,3,,,,-1,3,,,,-21,6,,,,-1,6,,,,143,16,,,,16,32,,,,26,65,,,,-171,82,,,,-51,177,,,,28,17,,,,-9,1,,,,-4,1,,,,2,1,,,,-40,2,,,,5,5,,,,7,5,14,30,30,30
803819,16,22/08/2019,10:37:13,Soil,,16,No,,,PPM,,,,1176,170,,,,959,36,,,,22903,78,,,,3094,20,,,,39,1,,,,4,0,,,,13,1,,,,62,1,,,,178,5,,,,-14,2,,,,-7,1,,,,-2,1,,,,3,1,,,,-1,0,,,,-3,0,,,,14,0,,,,45,3,,,,-1,2,,,,1,2,,,,2,1,,,,9,3,,,,0,2,,,,-4,3,,,,-27,6,,,,-13,6,,,,80,15,,,,-35,30,,,,10,61,,,,-255,77,,,,-238,165,,,,27,15,,,,-10,1,,,,-3,1,,,,1,1,,,,-40,2,,,,-4,3,,,,-8,3,15,30,30,30
803819,17,22/08/2019,10:39:26,Soil,,17,No,,,PPM,,,,597,172,,,,873,38,,,,34095,112,,,,2549,21,,,,43,1,,,,7,0,,,,16,1,,,,58,1,,,,176,5,,,,-12,2,,,,-4,1,,,,0,1,,,,0,1,,,,-2,0,,,,-2,0,,,,15,0,,,,29,3,,,,-3,2,,,,5,2,,,,-2,1,,,,-3,3,,,,-1,3,,,,-5,3,,,,-27,6,,,,-6,6,,,,123,16,,,,-41,32,,,,-30,65,,,,-117,82,,,,21,178,,,,25,16,,,,-8,1,,,,-5,1,,,,2,1,,,,-41,2,,,,-6,4,,,,5,4,16,30,30,30
803819,18,22/08/2019,10:41:17,Soil,,18,No,,,PPM,,,,707,160,,,,487,30,,,,24256,82,,,,2681,19,,,,42,1,,,,7,0,,,,15,1,,,,88,1,,,,185,5,,,,-17,2,,,,-2,1,,,,-4,1,,,,-1,1,,,,-2,0,,,,-3,0,,,,8,0,,,,32,3,,,,0,2,,,,4,2,,,,0,1,,,,3,3,,,,-1,3,,,,0,3,,,,-40,6,,,,-1,6,,,,104,15,,,,-10,31,,,,-62,61,,,,-112,80,,,,0,169,,,,30,16,,,,-8,1,,,,-3,1,,,,2,1,,,,-42,2,,,,-3,4,,,,2,4,17,30,30,30
803819,19,22/08/2019,10:43:12,Soil,,19,No,,,PPM,,,,599,156,,,,699,33,,,,24275,81,,,,2838,19,,,,47,1,,,,7,0,,,,10,1,,,,65,1,,,,110,4,,,,-12,2,,,,-7,1,,,,-2,1,,,,-1,1,,,,-2,0,,,,-2,0,,,,12,0,,,,50,4,,,,-2,2,,,,4,2,,,,1,1,,,,2,3,,,,-3,2,,,,-5,3,,,,-20,6,,,,-1,6,,,,117,15,,,,-24,30,,,,-91,61,,,,-57,77,,,,33,166,,,,25,15,,,,-10,1,,,,-4,1,,,,2,1,,,,-38,2,,,,1,4,,,,3,4,18,30,30,30
803819,20,22/08/2019,10:45:10,Soil,,20,No,,,PPM,,,,615,175,,,,845,37,,,,16761,66,,,,4144,23,,,,45,1,,,,6,0,,,,19,1,,,,96,1,,,,234,6,,,,-16,2,,,,-6,1,,,,-2,1,,,,0,1,,,,-3,0,,,,-3,0,,,,16,0,,,,56,4,,,,1,2,,,,3,2,,,,0,1,,,,6,3,,,,-2,3,,,,-7,3,,,,-25,6,,,,-4,6,,,,113,16,,,,-19,32,,,,15,66,,,,-201,83,,,,81,178,,,,9,16,,,,-8,1,,,,-4,1,,,,4,1,,,,-42,2,,,,5,5,,,,-2,4,19,30,30,30
803819,21,22/08/2019,10:47:02,Soil,,21,No,,,PPM,,,,411,158,,,,853,36,,,,23920,82,,,,2946,20,,,,48,1,,,,7,0,,,,12,1,,,,251,2,,,,229,6,,,,-17,2,,,,-6,1,,,,0,1,,,,3,1,,,,-2,0,,,,-3,0,,,,17,0,,,,47,4,,,,-1,2,,,,3,2,,,,0,1,,,,0,3,,,,-2,3,,,,-2,3,,,,-30,6,,,,-5,6,,,,154,16,,,,-52,32,,,,5,65,,,,-180,83,,,,9,177,,,,22,16,,,,-9,1,,,,-5,1,,,,3,1,,,,-42,2,,,,-3,4,,,,6,5,20,30,30,30
