sep=,
Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3,
803819,1,2019-09-23,14:34:18,,,1C,No,,,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
803819,2,2019-09-23,14:38:49,Soil,,2,No,,,PPM,,,,227,121,,,,-23,21,,,,4,9,,,,-13,2,,,,6,1,,,,0,0,,,,0,1,,,,1,1,,,,12,3,,,,-2,2,,,,-1,1,,,,-0,1,,,,-0,1,,,,-1,0,,,,-0,0,,,,-0,0,,,,1,1,,,,1,1,,,,1,1,,,,-0,1,,,,-1,1,,,,1,1,,,,1,1,,,,-4,3,,,,-4,3,,,,-10,9,,,,21,19,,,,17,39,,,,-127,51,,,,133,112,,,,-8,6,,,,2,2,,,,2,1,,,,0,1,,,,0,1,,,,-2,2,,,,1,2,1,30,30,30,
803819,3,2019-09-23,14:40:49,Soil,,3,No,,,PPM,,,,2056,486,,,,1359,77,,,,27449,128,,,,24965,105,,,,3047,17,,,,90,2,,,,59,2,,,,693,5,,,,28993,106,,,,-44,18,,,,28,2,,,,136,3,,,,437,4,,,,125,5,,,,2,1,,,,124,1,,,,243,5,,,,29,3,,,,268,5,,,,18,1,,,,7,2,,,,5,2,,,,51,2,,,,11,4,,,,29,4,,,,512,13,,,,-16,23,,,,141,47,,,,-353,62,,,,-290,136,,,,29,12,,,,3,3,,,,12,2,,,,1439,7,,,,3,2,,,,15,3,,,,6,3,2.0,30,30,30,
803819,4,2019-09-23,14:42:41,Soil,,4,No,,,PPM,,,,2522,119,,,,1020,25,,,,3416,17,,,,411,5,,,,-2,0,,,,-3,0,,,,-13,0,,,,74,1,,,,35,2,,,,-14,1,,,,-11,1,,,,-2,1,,,,34,1,,,,-1,0,,,,-2,0,,,,7,0,,,,6,1,,,,-0,1,,,,-0,1,,,,-0,0,,,,0,1,,,,-0,1,,,,-3,2,,,,-24,3,,,,-7,3,,,,24,8,,,,-34,17,,,,-12,35,,,,-19,44,,,,165,96,,,,-5,6,,,,-11,1,,,,-4,0,,,,-2,0,,,,-20,1,,,,-2,1,,,,-2,1,3.0,30,30,30,
803819,5,2019-09-23,14:44:31,Soil,,5,No,,,PPM,,,,2815,123,,,,907,24,,,,4173,19,,,,420,5,,,,-2,0,,,,-4,0,,,,-17,0,,,,54,1,,,,29,2,,,,-15,1,,,,-12,1,,,,-3,1,,,,29,1,,,,-1,0,,,,-2,0,,,,6,0,,,,5,1,,,,-1,1,,,,-1,1,,,,-0,0,,,,0,1,,,,1,1,,,,1,2,,,,-24,3,,,,-2,3,,,,29,8,,,,7,17,,,,17,34,,,,-49,44,,,,73,94,,,,1,6,,,,-13,1,,,,-4,0,,,,-2,0,,,,-18,1,,,,-2,1,,,,-3,1,4.0,30,30,30,
803819,6,2019-09-23,14:46:29,Soil,,6,No,,,PPM,,,,2807,122,,,,937,24,,,,4060,19,,,,422,5,,,,-2,0,,,,-3,0,,,,-15,0,,,,55,1,,,,32,2,,,,-14,1,,,,-12,1,,,,-2,1,,,,28,1,,,,-1,0,,,,-3,0,,,,6,0,,,,5,1,,,,-0,1,,,,-0,1,,,,0,0,,,,1,1,,,,-1,1,,,,0,2,,,,-27,3,,,,-7,3,,,,15,8,,,,5,17,,,,48,35,,,,7,44,,,,47,95,,,,-0,6,,,,-12,1,,,,-5,0,,,,-1,0,,,,-19,1,,,,-3,1,,,,-2,1,5.0,30,30,30,
803819,7,2019-09-23,14:49:46,Soil,,7,No,,,PPM,,,,2392,115,,,,988,24,,,,3074,16,,,,357,5,,,,1,1,,,,-3,0,,,,-12,0,,,,62,1,,,,42,2,,,,-14,1,,,,-12,1,,,,-2,1,,,,28,1,,,,-1,0,,,,-2,0,,,,6,0,,,,3,1,,,,-1,1,,,,-1,1,,,,-1,0,,,,-1,1,,,,-4,1,,,,1,2,,,,-22,3,,,,-0,3,,,,18,8,,,,-9,17,,,,44,35,,,,-19,45,,,,95,96,,,,-6,6,,,,-11,1,,,,-5,0,,,,-2,0,,,,-19,1,,,,-4,1,,,,-1,2,1,30,30,30,
803819,8,2019-09-23,14:51:35,Soil,,8,No,,,PPM,,,,2184,111,,,,1037,25,,,,2993,16,,,,313,5,,,,2,1,,,,-3,0,,,,-14,0,,,,50,1,,,,37,2,,,,-15,1,,,,-11,1,,,,-3,1,,,,29,1,,,,-1,0,,,,-2,0,,,,6,0,,,,3,1,,,,-1,1,,,,1,1,,,,-1,0,,,,-2,1,,,,0,1,,,,-1,2,,,,-26,3,,,,2,3,,,,15,8,,,,-24,17,,,,-21,34,,,,-68,43,,,,-21,93,,,,-5,6,,,,-12,1,,,,-4,0,,,,-1,0,,,,-18,1,,,,-3,1,,,,-2,1,2.0,30,30,30,
803819,9,2019-09-23,14:53:25,Soil,,9,No,,,PPM,,,,2072,111,,,,1009,25,,,,2904,16,,,,355,5,,,,1,1,,,,-3,0,,,,-12,0,,,,59,1,,,,40,2,,,,-14,1,,,,-12,1,,,,-3,1,,,,29,1,,,,-1,0,,,,-2,0,,,,6,0,,,,6,1,,,,-1,1,,,,-0,1,,,,-0,0,,,,0,1,,,,-3,1,,,,-5,2,,,,-23,3,,,,-6,3,,,,15,8,,,,19,18,,,,52,35,,,,-71,45,,,,-68,97,,,,-3,6,,,,-12,1,,,,-5,0,,,,-1,0,,,,-23,1,,,,-3,1,,,,-2,2,3.0,30,30,30,
803819,10,2019-09-23,14:55:13,Soil,,10,No,,,PPM,,,,2201,109,,,,946,24,,,,2425,14,,,,274,4,,,,-3,0,,,,-3,0,,,,-13,0,,,,42,1,,,,16,2,,,,-13,1,,,,-12,1,,,,-3,0,,,,22,1,,,,-1,0,,,,-2,0,,,,5,0,,,,3,1,,,,0,1,,,,-1,1,,,,-0,0,,,,3,1,,,,2,1,,,,1,2,,,,-25,3,,,,-1,3,,,,14,8,,,,-20,17,,,,-0,33,,,,-40,42,,,,39,91,,,,-2,6,,,,-12,1,,,,-4,0,,,,-2,0,,,,-16,1,,,,-4,1,,,,-0,1,4.0,30,30,30,
