TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
0109J0,219,Aug 22-35,ST50PKT0WD9N,ST50GEN0109J0,Straw,NA,656,732,25584,2957,42,6,14,152,228,-15,-6,-3,1,-2,-2,21,52,0,4,-1,3,-1,0,-19,-3,109,-75,-16,-58,145,16,-11,-3,1,-35,-4,6,161,34,85,20,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,30,61,78,167,15,1,1,1,2,4,4,York,2018,34,2,30 kg P,1,17,BT 4-Way MAGIC,CAV4080219,York_2018,CAV4080219,4.043522267,14.14,288.67,101.4,0.351266152
0108J5,1443,Aug 22-36,ST50PKT0WCRH,ST50GEN0108J5,Straw,NA,395,868,22274,3202,34,5,13,88,133,-14,-7,-3,0,-3,-3,12,32,-2,-1,-1,5,-4,-5,-16,-10,119,-54,72,11,141,-4,-7,-3,2,-41,2,2,156,35,77,20,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,61,78,169,14,1,1,1,2,4,4,York,2018,61,6,0 kg P,1,31,BT 4-Way MAGIC,CAV4081443,York_2018,CAV4081443,2.756739409,12.21,146.05,54.4,0.37247518
0108NH,787,Aug 22-37,ST50PKT0WCR5,ST50GEN0108NH,Straw,NA,321,1257,33031,4757,51,5,17,74,313,-11,-4,-2,0,-3,-3,27,58,-5,2,3,0,2,-1,-28,-3,147,7,-117,-120,157,20,-10,-3,3,-40,3,5,186,44,110,27,2,0,1,1,6,2,1,1,1,0,0,0,4,2,2,2,3,3,3,6,6,16,33,66,85,182,17,1,1,1,2,5,5,York,2018,62,2,30 kg P,1,31,BT 4-Way MAGIC,CAV4080787,York_2018,CAV4080787,6.268556005,12.73,309.21,121,0.391319815
0108G9,464,Aug 22-38,ST50PKT0WCSQ,ST50GEN0108G9,Straw,NA,878,710,21875,3143,60,7,16,160,271,-14,-6,-2,-1,-2,-2,14,40,0,4,0,3,-7,-2,-16,-2,122,-14,26,22,-71,19,-9,-4,2,-40,2,3,170,34,78,20,2,0,1,2,6,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,63,81,174,16,1,1,1,2,4,4,York,2018,65,12,30 kg P,1,33,BT 4-Way MAGIC,CAV4080464,York_2018,CAV4080464,3.547697368,12.56,252.97,83.4,0.329683362
0108N1,839,Aug 22-39,ST50PKT0WCQY,ST50GEN0108N1,Straw,NA,1310,747,26610,3065,56,7,14,70,262,-14,-8,-4,0,-2,-3,11,37,-2,7,0,2,-3,-4,-21,-2,132,-16,-40,-146,-17,16,-7,-4,2,-39,-7,4,182,35,90,21,2,0,1,1,6,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,16,32,64,82,177,16,1,1,1,2,4,4,York,2018,62,9,30 kg P,1,31,BT 4-Way MAGIC,CAV4080839,York_2018,CAV4080839,3.794929397,12.76,250.9,81.3,0.324033479
0108YQ,982,Aug 22-40,ST50PKT0WD11,ST50GEN0108YQ,Straw,NA,283,1076,21173,2553,184,10,17,51,820,-14,-4,-3,6,-2,-2,15,56,4,6,0,7,0,-1,-25,-5,149,-53,-90,-152,257,24,-6,-4,3,-39,3,-4,156,39,77,19,3,0,1,1,9,3,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,62,79,171,15,1,1,1,2,4,4,York,2018,46,1,0 kg P,1,23,BT 4-Way MAGIC,CAV4080982,York_2018,CAV4080982,3.018092105,6.81,197.64,72.1,0.364804695
0108G1,427,Aug 22-41,ST50PKT0WCSJ,ST50GEN0108G1,Straw,NA,591,1102,23850,3869,44,6,15,62,178,-16,-7,1,0,-2,-2,14,48,-1,3,1,4,2,2,-21,-4,145,34,65,-140,182,-2,-6,-4,2,-42,3,-3,175,40,84,23,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,17,33,67,86,185,16,1,1,1,2,5,4,York,2018,66,4,0 kg P,1,33,BT 4-Way MAGIC,CAV4080427,York_2018,CAV4080427,3.900134953,11.72,186.55,77.4,0.414902171
0108FX,1262,Aug 22-42,ST50PKT0WCSG,ST50GEN0108FX,Straw,NA,206,997,23221,3499,41,6,9,65,140,-12,-7,-3,-1,-2,-2,10,53,3,2,1,5,2,-1,-20,2,146,33,-58,-306,49,26,-9,-5,1,-39,3,3,158,38,81,21,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,64,81,176,16,1,1,1,2,4,4,York,2018,66,6,0 kg P,1,33,BT 4-Way MAGIC,CAV4081262,York_2018,CAV4081262,2.729460847,11.63,227.91,89.1,0.390943794
0109K5,1072,Aug 22-43,ST50PKT0WDBC,ST50GEN0109K5,Straw,NA,615,1076,29636,3011,48,7,16,217,248,-15,-6,-3,1,-2,-3,16,49,1,3,1,1,-2,0,-8,-1,98,14,50,-54,53,-2,-6,-4,3,-43,-1,2,174,41,100,21,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,33,66,84,182,16,1,1,1,2,4,5,York,2018,32,8,30 kg P,1,16,BT 4-Way MAGIC,CAV4081072,York_2018,CAV4081072,3.817520776,12.01,231.44,78.7,0.340044936
0108GM,1646,Aug 22-44,ST50PKT0WCSW,ST50GEN0108GM,Straw,NA,467,979,32320,3729,47,7,10,68,123,-12,-7,-3,-1,-2,-3,15,36,-2,3,1,2,-2,-1,-25,7,130,-21,80,-58,298,5,-9,-3,2,-43,-7,10,178,40,107,24,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,16,32,65,82,176,16,1,1,1,2,4,5,York,2018,65,7,30 kg P,1,33,BT 4-Way MAGIC,CAV4081646,York_2018,CAV4081646,4.476893453,11.85,233.44,78.9,0.337988348
0109JL,177,Aug 22-45,ST50PKT0WDB0,ST50GEN0109JL,Straw,NA,392,875,20871,3410,64,7,15,192,301,-14,-7,0,4,-2,-3,20,59,-1,3,0,1,4,-5,-23,8,132,-8,55,-24,-88,23,-7,-5,2,-39,3,-2,158,35,73,20,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,62,80,173,16,1,1,1,2,4,4,York,2018,33,5,0 kg P,1,17,BT 4-Way MAGIC,CAV4080177,York_2018,CAV4080177,2.694235589,11.04,184.75,69.4,0.37564276
01092S,253,Aug 22-46,ST50PKT0WD9H,ST50GEN01092S,Straw,NA,691,944,30046,3436,63,8,16,309,304,-14,-4,-3,1,-2,-3,15,56,-2,2,1,4,-1,0,-23,-7,126,-6,-67,-234,-147,24,-6,-4,3,-39,-5,2,173,38,98,22,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,64,81,176,16,1,1,1,2,4,4,York,2018,34,7,30 kg P,1,17,BT 4-Way MAGIC,CAV4080253,York_2018,CAV4080253,4.231386393,15.35,238.55,86.8,0.363865018
0108GH,1201,Aug 22-47,ST50PKT0WCST,ST50GEN0108GH,Straw,NA,692,552,15922,2664,32,5,15,66,152,-12,-5,-2,0,-3,-3,8,27,0,0,0,1,3,4,-33,-1,105,0,17,-96,117,22,-9,-4,3,-40,0,-3,151,30,60,17,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,61,78,170,15,1,1,1,2,4,4,York,2018,65,9,30 kg P,1,33,BT 4-Way MAGIC,CAV4081201,York_2018,CAV4081201,3.549422336,13.12,158.46,51.1,0.322478859
0109K1,886,Aug 22-48,ST50PKT0WDB9,ST50GEN0109K1,Straw,NA,198,779,18321,2110,34,4,12,140,194,-16,-8,-4,-1,-2,-3,12,41,-1,-2,0,3,0,-1,-31,-13,108,-46,31,-44,-142,5,-9,-4,3,-40,6,-7,137,33,66,16,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,77,167,14,1,1,1,2,4,4,York,2018,32,10,30 kg P,1,16,BT 4-Way MAGIC,CAV4080886,York_2018,CAV4080886,3.980263158,14.65,221.69,74.3,0.335152691
0108GK,434,Aug 22-49,ST50PKT0WCSV,ST50GEN0108GK,Straw,NA,159,895,33999,2571,29,3,8,55,137,-11,-9,-2,-2,-2,-2,23,35,-3,4,-1,1,-3,-3,-22,6,127,-41,73,-63,17,38,-9,-4,2,-36,-2,7,153,36,106,20,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,61,78,169,15,1,1,1,2,4,4,York,2018,65,8,30 kg P,1,33,BT 4-Way MAGIC,CAV4080434,York_2018,CAV4080434,3.147506925,13.53,162.19,40.9,0.252173377
0108Y4,588,Aug 22-50,ST50PKT0WD0R,ST50GEN0108Y4,Straw,NA,198,946,22753,3168,37,6,16,115,160,-12,-5,-2,0,-3,-3,18,61,-2,4,1,-1,-5,-3,-26,-13,128,-24,41,-57,-176,31,-9,-4,3,-41,-6,-1,155,37,79,20,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,62,79,168,16,1,1,1,2,4,4,York,2018,46,10,0 kg P,1,23,BT 4-Way MAGIC,CAV4080588,York_2018,CAV4080588,2.547697368,12.84,168.27,61.3,0.364295478
0109HW,1064,Aug 22-51,ST50PKT0WD9L,ST50GEN0109HW,Straw,NA,800,1007,24119,2829,38,5,14,235,226,-13,-8,-3,1,-2,-2,20,47,-4,2,2,1,1,-6,-43,-7,105,-37,7,-178,-42,9,-9,-4,1,-38,0,1,166,38,83,19,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,64,82,176,15,1,1,1,2,4,4,York,2018,34,4,30 kg P,1,17,BT 4-Way MAGIC,CAV4081064,York_2018,CAV4081064,4.078947368,13.3,260.71,87,0.333704116
0108FL,1260,Aug 22-52,ST50PKT0WCS9,ST50GEN0108FL,Straw,NA,244,1031,24364,2633,41,8,12,76,103,-9,-8,-1,2,-2,-2,20,48,4,2,1,3,1,-3,-26,-8,151,38,91,-183,-142,12,-9,-4,2,-38,-4,2,158,39,86,20,1,0,1,1,4,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,64,83,178,16,1,1,1,2,4,4,York,2018,66,11,0 kg P,1,33,BT 4-Way MAGIC,CAV4081260,York_2018,CAV4081260,2.931643132,8.94,214.13,85,0.396955121
0108NM,532,Aug 22-53,ST50PKT0WCR9,ST50GEN0108NM,Straw,NA,718,895,23903,2881,53,6,16,99,291,-15,-6,-1,1,-3,-3,9,40,-2,3,0,2,-4,2,-28,4,118,-36,-118,-53,295,80,-7,-4,4,-43,-5,0,167,37,83,20,1,0,1,1,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,33,65,83,179,19,1,1,1,2,4,4,York,2018,61,12,0 kg P,1,31,BT 4-Way MAGIC,CAV4080532,York_2018,CAV4080532,3.662828947,13.36,232.72,89.3,0.383722929
01092G,1442,Aug 22-54,ST50PKT0WD7Q,ST50GEN01092G,Straw,NA,337,1150,23642,3166,58,9,17,154,254,-15,-2,-4,-1,-2,-3,14,84,-3,3,-1,-1,0,-1,-15,-4,115,-40,104,-50,72,46,-7,-4,2,-42,0,4,156,39,80,20,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,63,79,172,16,1,1,1,2,4,4,York,2018,34,12,30 kg P,1,17,BT 4-Way MAGIC,CAV4081442,York_2018,CAV4081442,3.828947368,11.93,207.36,93.7,0.451871142
0108GF,1217,Aug 22-55,ST50PKT0WCSS,ST50GEN0108GF,Straw,NA,278,904,26294,2026,37,4,13,76,190,-15,-5,-4,-2,-2,-3,16,30,-1,3,0,0,0,0,-21,4,125,-26,16,-162,-286,-11,-7,-4,2,-42,1,1,149,36,88,17,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,32,64,81,174,14,1,1,1,2,4,4,York,2018,65,10,30 kg P,1,33,BT 4-Way MAGIC,CAV4081217,York_2018,CAV4081217,3.264802632,11.58,225.66,80.5,0.356731366
0109KC,1500,Aug 22-56,ST50PKT0WDBG,ST50GEN0109KC,Straw,NA,75,570,17114,2112,47,5,15,224,313,-14,-5,-4,-1,-3,-3,18,38,0,2,-1,3,1,1,-22,1,93,12,140,-169,-117,27,-10,-4,3,-37,0,0,130,29,61,16,1,0,1,2,6,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,14,29,59,75,161,14,1,1,1,1,4,4,York,2018,32,5,30 kg P,1,16,BT 4-Way MAGIC,CAV4081500,York_2018,CAV4081500,4.053884712,14.83,303.58,96.9,0.319190988
01098Q,349,Aug 22-57,ST50PKT0WD7T,ST50GEN01098Q,Straw,NA,208,645,25484,2001,45,5,9,132,240,-15,-6,-4,2,-3,-3,14,42,-1,4,0,0,0,-6,-26,-3,115,-1,-79,-41,-115,10,-8,-4,3,-40,-5,-3,140,31,83,17,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,61,78,168,14,1,1,1,1,4,4,York,2018,31,1,0 kg P,1,16,BT 4-Way MAGIC,CAV4080349,York_2018,CAV4080349,2.174342105,10.12,257.63,73.2,0.284128401
0108MX,1528,Aug 22-58,ST50PKT0WCQW,ST50GEN0108MX,Straw,NA,903,985,21673,3017,36,5,14,124,147,-13,-8,-3,0,-2,-3,13,45,1,-3,0,0,-2,1,-32,-16,141,-11,-65,-102,35,12,-10,-4,2,-41,4,5,170,38,77,20,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,83,178,16,1,1,1,2,4,5,York,2018,62,11,30 kg P,1,31,BT 4-Way MAGIC,CAV4081528,York_2018,CAV4081528,3.084082157,14.96,175.04,38.2,0.218235832
0108GY,1175,Aug 22-59,ST50PKT0WCT1,ST50GEN0108GY,Straw,NA,417,1020,24659,2290,28,4,11,48,82,-15,-9,-1,0,-2,-3,13,43,-1,-1,2,5,-4,-3,-31,-4,102,-26,35,-99,149,19,-8,-4,2,-36,11,0,154,38,85,18,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,32,63,80,174,15,1,1,1,2,4,4,York,2018,65,2,30 kg P,1,33,BT 4-Way MAGIC,CAV4081175,York_2018,CAV4081175,4.67611336,14.34,223.61,76.1,0.340324672
0108G3,166,Aug 22-60,ST50PKT0WCSK,ST50GEN0108G3,Straw,NA,344,697,19854,3933,35,5,12,60,121,-15,-7,-2,1,-2,-2,10,36,2,4,0,2,-1,-1,-27,-7,143,-42,-88,-222,288,11,-7,-3,2,-41,-3,-2,163,34,72,22,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,16,32,64,81,174,15,1,1,1,2,4,4,York,2018,66,3,0 kg P,1,33,BT 4-Way MAGIC,CAV4080166,York_2018,CAV4080166,3.862323492,13.88,318.32,125.9,0.395513948
0109J2,1018,Aug 22-61,ST50PKT0WD9P,ST50GEN0109J2,Straw,NA,621,881,18383,4499,64,8,19,207,360,-15,-1,-3,1,-2,-3,18,68,-5,2,2,5,2,-9,-26,2,149,34,58,-88,163,26,-10,-4,2,-42,5,3,172,36,68,23,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,33,65,83,179,16,1,1,1,2,4,5,York,2018,34,1,30 kg P,1,17,BT 4-Way MAGIC,CAV4081018,York_2018,CAV4081018,4.273026316,11.02,295.74,115.6,0.390883884
01098J,399,Aug 22-62,ST50PKT0WDBY,ST50GEN01098J,Straw,NA,371,994,20776,3132,61,7,12,206,313,-13,-7,-2,3,-2,-3,16,53,0,1,0,5,-2,-2,-22,-3,145,-42,-1,-139,-40,-13,-10,-3,1,-40,0,1,149,36,71,19,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,30,60,76,164,13,1,1,1,1,4,4,York,2018,31,4,0 kg P,1,16,BT 4-Way MAGIC,CAV4080399,York_2018,CAV4080399,2.294197031,8.17,172.55,65.9,0.381918285
0109HT,177,Aug 22-63,ST50PKT0WD9K,ST50GEN0109HT,Straw,NA,386,716,20891,2784,41,4,16,214,278,-14,-6,-2,1,-3,-2,25,42,-3,4,0,-1,0,-3,-34,-10,103,4,6,-60,141,-10,-6,-5,3,-38,-6,6,151,33,73,19,1,0,1,2,6,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,63,80,173,14,1,1,1,2,4,4,York,2018,34,5,30 kg P,1,17,BT 4-Way MAGIC,CAV4080177,York_2018,CAV4080177,4.805764411,16.74,296.52,91.1,0.307230541
01092L,1658,Aug 22-64,ST50PKT0WD7S,ST50GEN01092L,Straw,NA,524,813,22844,2205,56,7,12,183,245,-13,-7,-2,0,-2,-3,20,52,0,1,0,0,-3,3,-17,-4,150,-73,78,-281,74,8,-11,-3,2,-38,0,0,148,34,77,17,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,30,61,77,167,14,1,1,1,1,4,4,York,2018,34,10,30 kg P,1,17,BT 4-Way MAGIC,CAV4081658,York_2018,CAV4081658,3.075657895,11.89,144.63,35.9,0.248219595
0109J6,WESTONIA,Aug 22-65,ST50PKT0WD9T,ST50GEN0109J6,Straw,NA,252,837,24566,2821,52,8,17,233,187,-13,-5,-3,4,-2,-3,11,59,2,0,0,1,0,6,-25,9,133,-13,78,-98,36,10,-9,-4,1,-40,-2,3,152,35,83,19,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,62,81,173,15,1,1,1,2,4,4,York,2018,33,11,0 kg P,1,17,MAGIC Parents,WESTONIA,York_2018,WESTONIA,2.382862644,8.7,181.23,73.5,0.405561993
0109JZ,417,Aug 22-66,ST50PKT0WDB8,ST50GEN0109JZ,Straw,NA,247,798,23761,2730,54,7,18,187,221,-14,-7,-4,0,-2,-2,11,44,-1,6,0,-1,-2,-3,-19,-4,119,-33,76,-162,-269,47,-8,-4,3,-43,-4,4,152,35,81,19,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,62,80,173,17,1,1,1,2,4,4,York,2018,32,11,30 kg P,1,16,BT 4-Way MAGIC,CAV4080417,York_2018,CAV4080417,3.907252888,13.02,292.63,109.9,0.37555958
0109JG,253,Aug 22-69,ST50PKT0WD9Y,ST50GEN0109JG,Straw,NA,436,967,23145,2540,53,8,14,171,141,-13,-6,-3,0,-2,-3,13,56,2,2,-1,-3,2,1,-19,2,128,-17,63,-151,38,5,-8,-5,1,-40,-2,2,152,36,79,18,1,0,1,2,4,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,62,79,170,14,1,1,1,2,4,4,York,2018,33,7,0 kg P,1,17,BT 4-Way MAGIC,CAV4080253,York_2018,CAV4080253,2.232028241,10.94,87.38,24.7,0.282673381
0108NW,1247,Aug 22-70,ST50PKT0WCRF,ST50GEN0108NW,Straw,NA,402,840,21870,3247,45,6,11,49,187,-13,-8,-3,2,-2,-3,12,45,-1,4,0,-3,0,-6,-25,-5,107,-48,34,-141,-198,7,-10,-4,1,-39,0,1,154,34,75,20,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,60,77,167,14,1,1,1,1,4,4,York,2018,61,8,0 kg P,1,31,BT 4-Way MAGIC,CAV4081247,York_2018,CAV4081247,2.815096953,9.95,105.19,44.4,0.422093355
010986,1449,Aug 22-71,ST50PKT0WDBS,ST50GEN010986,Straw,NA,274,632,20497,2627,58,6,16,229,249,-17,-6,-3,1,-3,-3,10,34,1,3,1,2,1,2,-26,-6,120,-7,-4,-92,105,-12,-9,-3,3,-41,4,-1,144,31,71,18,1,0,1,2,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,59,76,163,13,1,1,1,1,4,4,York,2018,31,9,0 kg P,1,16,BT 4-Way MAGIC,CAV4081449,York_2018,CAV4081449,2.581835687,9.08,199.42,81.5,0.408685187
010984,886,Aug 22-72,ST50PKT0WDBR,ST50GEN010984,Straw,NA,210,839,26407,2699,46,5,13,191,242,-19,-5,-3,2,-2,-2,13,42,0,1,1,1,-2,1,-22,-8,125,-32,-77,-39,106,24,-9,-4,2,-38,-1,4,152,35,87,19,1,0,1,2,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,62,79,170,15,1,1,1,2,4,4,York,2018,31,10,0 kg P,1,16,BT 4-Way MAGIC,CAV4080886,York_2018,CAV4080886,1.756578947,8.3,135.42,47.2,0.348545267
0108Z7,462,Aug 22-73,ST50PKT0WD2Z,ST50GEN0108Z7,Straw,NA,655,880,20971,3106,56,5,16,124,349,-16,-5,-5,-1,-2,-3,16,43,1,5,0,6,-2,0,-27,8,111,23,4,18,63,22,-7,-3,2,-39,0,-4,162,36,74,20,1,0,1,1,6,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,62,78,169,15,1,1,1,2,4,4,York,2018,45,5,30 kg P,1,23,BT 4-Way MAGIC,CAV4080462,York_2018,CAV4080462,4.035087719,13.99,200.38,72.2,0.360315401
0108XP,958,Aug 22-74,ST50PKT0WD0G,ST50GEN0108XP,Straw,NA,502,1228,27295,3861,51,7,14,83,212,-11,-5,-3,1,-2,-3,20,60,-1,1,1,5,-6,-1,-23,-17,137,-4,-4,-89,-132,-8,-7,-3,2,-39,-2,2,175,42,93,23,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,83,176,15,1,1,1,2,4,4,York,2018,47,5,30 kg P,1,24,BT 4-Way MAGIC,CAV4080958,York_2018,CAV4080958,4.448621554,12.11,221.54,89.5,0.40399025
0108YJ,662,Aug 22-75,ST50PKT0WD0Y,ST50GEN0108YJ,Straw,NA,417,965,28825,3083,45,6,6,55,176,-14,-8,-1,3,-2,-3,20,68,0,1,-1,-2,-3,0,-31,-12,87,-46,-36,-94,-136,5,-8,-4,2,-36,-1,3,161,37,94,20,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,14,30,60,76,163,14,1,1,1,2,4,4,York,2018,46,4,0 kg P,1,23,BT 4-Way MAGIC,CAV4080662,York_2018,CAV4080662,2.503373819,12.28,235.93,94.5,0.400542534
0109JD,756,Aug 22-76,ST50PKT0WD9X,ST50GEN0109JD,Straw,NA,502,818,24880,2844,71,8,17,202,204,-14,-6,-1,0,-3,-3,15,45,-1,1,2,6,2,2,-23,-5,155,1,29,-292,-262,12,-9,-4,3,-41,-7,2,165,37,87,20,2,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,82,179,16,1,1,1,2,4,5,York,2018,33,8,0 kg P,1,17,BT 4-Way MAGIC,CAV4080756,York_2018,CAV4080756,1.902700831,9.27,142.17,51.7,0.363649152
0108FQ,1201,Aug 22-77,ST50PKT0WCSC,ST50GEN0108FQ,Straw,NA,670,1311,33927,3958,41,5,8,40,139,-15,-5,-3,1,-2,-2,13,61,1,4,2,2,-5,-5,-18,-7,110,-22,11,-94,-31,-3,-9,-4,2,-39,-1,4,181,43,109,24,1,0,1,1,4,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,64,81,175,15,1,1,1,2,4,4,York,2018,66,9,0 kg P,1,33,BT 4-Way MAGIC,CAV4081201,York_2018,CAV4081201,3.000641849,11.59,233.67,93.6,0.400564899
01097T,236,Aug 22-78,ST50PKT0WDBJ,ST50GEN01097T,Straw,NA,362,936,22716,2663,44,7,13,170,188,-16,-8,-3,-2,-2,-3,18,48,-2,2,0,3,-10,1,-20,-4,95,-3,-31,-67,188,28,-8,-5,2,-40,-1,-2,149,35,77,18,1,0,1,2,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,60,77,166,15,1,1,1,2,4,4,York,2018,32,3,30 kg P,1,16,BT 4-Way MAGIC,CAV4080236,York_2018,CAV4080236,4.186456996,13.82,144.11,54.5,0.378183332
0109JJ,550,Aug 22-79,ST50PKT0WD9Z,ST50GEN0109JJ,Straw,NA,643,1274,33555,2991,44,5,9,182,161,-15,-6,-1,3,-2,-2,20,70,-3,-1,0,4,0,1,-23,-10,114,16,-17,-143,-176,10,-10,-4,2,-36,0,-3,166,40,104,21,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,14,29,59,76,163,14,1,1,1,1,4,4,York,2018,33,6,0 kg P,1,17,BT 4-Way MAGIC,CAV4080550,York_2018,CAV4080550,1.882220796,8.5,157.82,48.1,0.304777595
0108GP,1262,Aug 22-80,ST50PKT0WCSX,ST50GEN0108GP,Straw,NA,258,1198,29452,2937,34,5,7,60,132,-14,-10,-3,-1,-3,-2,12,45,-1,2,1,-3,-1,1,-27,-12,94,9,-1,-94,-158,40,-10,-5,2,-36,-4,-5,159,40,97,20,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,62,79,172,16,1,1,1,2,4,4,York,2018,65,6,30 kg P,1,33,BT 4-Way MAGIC,CAV4081262,York_2018,CAV4081262,4.318035944,16.4,226.54,75.6,0.3337159
0109JS,219,Aug 22-81,ST50PKT0WDB3,ST50GEN0109JS,Straw,NA,720,1109,25519,3967,56,9,14,135,175,-14,-6,-1,1,-2,-3,19,58,0,3,0,-3,1,-4,-24,-2,158,-17,19,-139,295,14,-7,-5,3,-44,0,6,175,40,87,23,2,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,63,80,171,15,1,1,1,2,4,4,York,2018,33,2,0 kg P,1,17,BT 4-Way MAGIC,CAV4080219,York_2018,CAV4080219,2.54217274,10.33,165.38,63.7,0.38517354
0109K7,1633,Aug 22-82,ST50PKT0WDBD,ST50GEN0109K7,Straw,NA,743,1023,27500,3298,50,6,17,222,333,-15,-4,-4,0,-2,-2,18,58,2,1,2,7,2,0,-28,-17,119,-35,69,-125,-149,-6,-10,-4,3,-41,0,-6,174,39,93,21,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,64,81,173,15,1,1,1,2,4,4,York,2018,32,7,30 kg P,1,16,BT 4-Way MAGIC,CAV4081633,York_2018,CAV4081633,4.929396662,12.85,312.05,117.9,0.377824067
