TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
01088K,430,Aug 22-14,ST50PKT0WCLS,ST50GEN01088K,Straw,NA,347,1134,42034,3449,33,4,12,80,223,-13,-4,2,3,-2,-2,14,26,-1,3,0,3,0,-4,-23,-7,118,-33,-53,-94,-312,17,-10,-4,2,-33,2,-4,176,41,129,23,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,78,169,15,1,1,1,2,4,4,York,2018,75,6,30 kg P,2,38,BT 4-Way MAGIC,CAV4080430,York_2018,CAV4080430,4.725609756,12.54,334.7,102.2,0.305348073
0107GZ,258,Aug 22-15,ST50PKT0WC0Y,ST50GEN0107GZ,Straw,NA,368,540,24139,4669,50,8,15,131,174,-16,-8,-1,2,-3,-2,11,42,-1,-2,0,-3,-5,-1,-21,-1,143,16,26,-171,-51,28,-9,-4,2,-40,5,7,176,33,85,25,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,82,177,17,1,1,1,2,5,5,York,2018,111,5,0 kg P,2,56,BT 4-Way MAGIC,CAV4080258,York_2018,CAV4080258,2.039473684,8.4,103.19,36,0.348871015
0108QK,1165,Aug 22-16,ST50PKT0WCYH,ST50GEN0108QK,Straw,NA,1176,959,22903,3094,39,4,13,62,178,-14,-7,-2,3,-1,-3,14,45,-1,1,2,9,0,-4,-27,-13,80,-35,10,-255,-238,27,-10,-3,1,-40,-4,-8,170,36,78,20,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,77,165,15,1,1,1,2,3,3,York,2018,55,4,0 kg P,1,28,BT 4-Way MAGIC,CAV4081165,York_2018,CAV4081165,2.601214575,8.91,170.27,65.4,0.384095848
01077W,806,Aug 22-17,ST50PKT0WC4G,ST50GEN01077W,Straw,NA,597,873,34095,2549,43,7,16,58,176,-12,-4,0,0,-2,-2,15,29,-3,5,-2,-3,-1,-5,-27,-6,123,-41,-30,-117,21,25,-8,-5,2,-41,-6,5,172,38,112,21,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,16,32,65,82,178,16,1,1,1,2,4,4,York,2018,114,4,30 kg P,2,57,BT 4-Way MAGIC,CAV4080806,York_2018,CAV4080806,4.331983806,13.84,213.61,75.4,0.352979729
01079C,258,Aug 22-18,ST50PKT0WC0H,ST50GEN01079C,Straw,NA,707,487,24256,2681,42,7,15,88,185,-17,-2,-4,-1,-2,-3,8,32,0,4,0,3,-1,0,-40,-1,104,-10,-62,-112,0,30,-8,-3,2,-42,-3,2,160,30,82,19,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,61,80,169,16,1,1,1,2,4,4,York,2018,112,5,30 kg P,2,56,BT 4-Way MAGIC,CAV4080258,York_2018,CAV4080258,3.21585213,14.09,192.84,67.3,0.348993985
0108GR,496,Aug 22-19,ST50PKT0WCSY,ST50GEN0108GR,Straw,NA,599,699,24275,2838,47,7,10,65,110,-12,-7,-2,-1,-2,-2,12,50,-2,4,1,2,-3,-5,-20,-1,117,-24,-91,-57,33,25,-10,-4,2,-38,1,3,156,33,81,19,1,0,1,1,4,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,30,61,77,166,15,1,1,1,2,4,4,York,2018,65,5,30 kg P,1,33,BT 4-Way MAGIC,CAV4080496,York_2018,CAV4080496,4.226190476,13.45,253.06,92.1,0.363945309
0108XM,M75-28,Aug 22-20,ST50PKT0WD0F,ST50GEN0108XM,Straw,NA,615,845,16761,4144,45,6,19,96,234,-16,-6,-2,0,-3,-3,16,56,1,3,0,6,-2,-7,-25,-4,113,-19,15,-201,81,9,-8,-4,4,-42,5,-2,175,37,66,23,1,0,1,1,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,66,83,178,16,1,1,1,2,5,4,York,2018,47,6,30 kg P,1,24,Maringa_Spica,M75-28,York_2018,M75-28,2.705391528,19.92,301.31,79.7,0.264511633
0109S8,962,Aug 22-21,ST50PKT0WDLK,ST50GEN0109S8,Straw,NA,411,853,23920,2946,48,7,12,251,229,-17,-6,0,3,-2,-3,17,47,-1,3,0,0,-2,-2,-30,-5,154,-52,5,-180,9,22,-9,-5,3,-42,-3,6,158,36,82,20,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,83,177,16,1,1,1,2,4,5,York,2018,10,12,0 kg P,1,5,BT 4-Way MAGIC,CAV4080962,York_2018,CAV4080962,0.689144737,8.15,116.84,35.3,0.302122561
0108JC,1547,Aug 22-22,ST50PKT0WCRL,ST50GEN0108JC,Straw,NA,442,1112,24949,5065,46,7,18,48,192,-12,-6,0,1,-2,-2,11,58,-1,5,4,-2,4,-1,-18,-11,167,34,-1,-151,42,40,-9,-3,2,-44,1,2,187,42,89,27,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,2,4,3,4,7,7,17,35,70,90,193,19,1,1,1,2,5,5,York,2018,61,3,0 kg P,1,31,BT 4-Way MAGIC,CAV4081547,York_2018,CAV4081547,2.982991014,NA,211.91,64.5,0.304374499
01077P,789,Aug 22-23,ST50PKT0WC4C,ST50GEN01077P,Straw,NA,611,569,25365,3016,42,6,24,146,225,-13,-4,0,1,-3,-3,10,29,-2,3,-1,2,-3,-1,-31,-6,123,-20,-41,-125,-212,6,-8,-4,3,-44,2,3,173,34,90,21,1,0,1,2,6,2,1,1,1,0,0,0,3,2,2,1,4,3,3,6,7,17,34,68,87,186,17,1,1,1,2,5,5,York,2018,114,7,30 kg P,2,57,BT 4-Way MAGIC,CAV4080789,York_2018,CAV4080789,2.922015404,11.28,142.03,50.9,0.358374991
