reading_id,SUBSAMPLE_ID,STEM_ID,GENPRINT,PConcentration,P_Error1s
2019-08-22-101,ST50GEN01097W,ST50PKT0WDBK,676,594,160
2019-08-22-102,ST50GEN0109SV,ST50PKT0WDLV,1228,482,169
2019-08-22-103,ST50GEN0109VZ,ST50PKT0WDL7,1259,490,163
2019-08-22-104,ST50GEN0108WV,ST50PKT0WCZZ,M75-28,409,144
2019-08-22-105,ST50GEN0108G7,ST50PKT0WCSM,724,597,185
2019-08-22-106,ST50GEN0109RW,ST50PKT0WDL9,544,287,138
2019-08-22-107,ST50GEN01098G,ST50PKT0WDBX,1500,231,130
2019-08-22-108,ST50GEN0109SG,ST50PKT0WDLN,1493,238,157
2019-08-22-109,ST50GEN010980,ST50PKT0WDBP,683,345,157
2019-08-22-110,ST50GEN0108MV,ST50PKT0WCQV,532,991,189
2019-08-22-111,ST50GEN0108GT,ST50PKT0WCSZ,427,552,156
2019-08-22-112,ST50GEN010988,ST50PKT0WDBT,1072,382,150
2019-08-22-113,ST50GEN01098L,ST50PKT0WDBZ,236,158,161
2019-08-22-114,ST50GEN01098N,ST50PKT0WDC0,676,218,149
2019-08-23-005,ST50GEN01077F,ST50PKT0WC47,1379,508,151
2019-08-23-006,ST50GEN010795,ST50PKT0WC0D,437,407,150
2019-08-23-007,ST50GEN01077M,ST50PKT0WC4B,1192,433,155
2019-08-23-008,ST50GEN0108N3,ST50PKT0WCQZ,1247,486,155
2019-08-23-009,ST50GEN01088C,ST50PKT0WCLP,1223,750,197
2019-08-23-010,ST50GEN0108QC,ST50PKT0WCYD,882,336,167
2019-08-23-011,ST50GEN01092Q,ST50PKT0WD9G,756,1050,177
2019-08-23-012,ST50GEN010889,ST50PKT0WCLN,1158,393,146
2019-08-23-013,ST50GEN0108YD,ST50PKT0WD0W,1233,590,165
2019-08-23-014,ST50GEN01077C,ST50PKT0WC46,742,846,167
2019-08-23-015,ST50GEN0109V4,ST50PKT0WDKR,583,983,182
2019-08-23-016,ST50GEN0108J7,ST50PKT0WCRJ,1325,83,149
2019-08-23-017,ST50GEN01088F,ST50PKT0WCLQ,M76-116,723,173
2019-08-23-018,ST50GEN0108PJ,ST50PKT0WCXX,410,740,182
2019-08-23-019,ST50GEN01088T,ST50PKT0WCLX,857,571,157
2019-08-23-020,ST50GEN0109RF,ST50PKT0WDN9,1285,226,157
2019-08-23-021,ST50GEN0108XC,ST50PKT0WD09,1232,817,187
2019-08-23-022,ST50GEN0108J9,ST50PKT0WCRK,1350,274,156
2019-08-23-023,ST50GEN01078S,ST50PKT0WC04,737,205,175
2019-08-23-024,ST50GEN0109TK,ST50PKT0WDNM,531,816,184
2019-08-23-025,ST50GEN0108Q7,ST50PKT0WCYB,408,516,164
2019-08-23-026,ST50GEN01078Q,ST50PKT0WC03,M76-79,300,172
2019-08-23-027,ST50GEN0108PV,ST50PKT0WCY2,598,306,145
2019-08-23-028,ST50GEN0108GC,ST50PKT0WCSR,1260,242,146
2019-08-23-029,ST50GEN0108X5,ST50PKT0WD04,1187,430,165
2019-08-23-030,ST50GEN010786,ST50PKT0WC4P,1379,120,155
