reading_id,SUBSAMPLE_ID,STEM_ID,GENPRINT,PConcentration,P_Error1s
2019-08-29-035,ST50GEN01079N,ST50PKT0WC0M,139,2777,120
2019-08-29-036,ST50GEN0108XN,ST50PKT0WD0F,M75-28,3756,134
2019-08-29-037,ST50GEN01088X,ST50PKT0WCLY,177,2525,114
2019-08-29-038,ST50GEN0109R6,ST50PKT0WDN5,531,2142,110
2019-08-29-039,ST50GEN01088V,ST50PKT0WCLX,857,3590,131
2019-08-29-040,ST50GEN01088D,ST50PKT0WCLP,1223,3815,135
2019-08-29-041,ST50GEN0109JF,ST50PKT0WD9X,756,2035,107
2019-08-29-042,ST50GEN01088L,ST50PKT0WCLS,430,3199,126
2019-08-29-043,ST50GEN0108JB,ST50PKT0WCRK,1350,2900,121
2019-08-29-044,ST50GEN01092R,ST50PKT0WD9G,756,4562,145
2019-08-29-045,ST50GEN010787,ST50PKT0WC4P,1379,2343,113
2019-08-29-046,ST50GEN0108N4,ST50PKT0WCQZ,1247,2870,120
2019-08-29-047,ST50GEN01077S,ST50PKT0WC4D,1445,3060,123
2019-08-29-048,ST50GEN0107H0,ST50PKT0WC0Y,258,2257,110
2019-08-29-049,ST50GEN010798,ST50PKT0WC0F,1495,4319,142
2019-08-29-051,ST50GEN01077N,ST50PKT0WC4B,1192,3746,133
2019-08-29-052,ST50GEN01077G,ST50PKT0WC47,1379,3521,131
2019-08-29-053,ST50GEN0108NG,ST50PKT0WCR4,1547,3180,124
2019-08-29-054,ST50GEN0108NQ,ST50PKT0WCRB,1528,3188,126
2019-08-29-055,ST50GEN0108XL,ST50PKT0WD0D,1212,4076,138
2019-08-29-056,ST50GEN01079L,ST50PKT0WC0L,1610,2720,119
2019-08-29-057,ST50GEN0108QD,ST50PKT0WCYD,882,3310,128
2019-08-29-058,ST50GEN0107RN,ST50PKT0WCD2,976,3843,136
2019-08-29-059,ST50GEN0108X6,ST50PKT0WD04,1187,2972,122
2019-08-29-060,ST50GEN0109VT,ST50PKT0WDL4,1306,2266,110
2019-08-29-061,ST50GEN01088G,ST50PKT0WCLQ,M76-116,2590,120
2019-08-29-062,ST50GEN0109TN,ST50PKT0WDNN,1176,2671,117
2019-08-29-063,ST50GEN0108JD,ST50PKT0WCRL,1547,2343,111
2019-08-29-064,ST50GEN01077D,ST50PKT0WC46,742,3184,125
2019-08-29-065,ST50GEN0107R4,ST50PKT0WCCR,718,4400,142
2019-08-29-066,ST50GEN01077X,ST50PKT0WC4G,806,3208,125
2019-08-29-067,ST50GEN010785,ST50PKT0WC4N,742,2163,108
2019-08-29-068,ST50GEN0108N6,ST50PKT0WCR0,438,2996,123
2019-08-29-069,ST50GEN01078Y,ST50PKT0WC08,1051,4440,141
2019-08-29-070,ST50GEN0108XJ,ST50PKT0WD0C,1265,2629,120
2019-08-29-071,ST50GEN010783,ST50PKT0WC4K,118,3907,137
2019-08-29-072,ST50GEN0109S9,ST50PKT0WDLK,962,2325,113
2019-08-29-073,ST50GEN01077J,ST50PKT0WC48,1148,3889,135
2019-08-29-074,ST50GEN010794,ST50PKT0WC0C,M75-28,2826,120
2019-08-29-075,ST50GEN0108X8,ST50PKT0WD07,1148,6948,174
2019-08-29-076,ST50GEN0109RG,ST50PKT0WDN9,1285,2533,117
2019-08-29-077,ST50GEN0108GD,ST50PKT0WCSR,1260,3934,138
2019-08-29-078,ST50GEN01077Q,ST50PKT0WC4C,789,4442,143
2019-08-29-079,ST50GEN0109V3,ST50PKT0WDKQ,1274,3911,135
2019-08-29-080,ST50GEN0108NZ,ST50PKT0WCRG,438,3432,128
2019-08-29-081,ST50GEN0108X0,ST50PKT0WD01,M73-13,1801,107
