SCANNING_CODE,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s
Aug 22-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug 26-64,2927,792,4464,187,2,-2,-14,48,44,-15,-12,-6,17,-1,-2,15,4,-1,-1,-1,-2,-1,-2,-23,-9,15,-19,-27,-1,110,-11,-12,-5,-1,-16,-3,-1,122,23,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 26-65,4527,1101,4596,301,3,-3,-13,61,30,-12,-12,-5,30,-1,-2,14,4,-1,-1,-1,0,2,-1,-25,-7,18,1,0,7,32,-5,-12,-4,-2,-16,-4,1,145,26,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,43,91,6,1,0,0,1,1,2
Aug 26-66,2659,797,4550,293,3,-3,-14,39,22,-14,-14,-3,20,-1,-3,8,7,0,0,0,-2,-2,-3,-21,-4,12,-4,14,-20,144,-5,-11,-4,-2,-20,-3,0,119,23,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 26-67,2901,799,4490,321,2,-3,-15,16,17,-15,-12,-2,19,-1,-1,8,5,-2,0,0,-2,-1,1,-21,-3,13,-19,15,25,24,-15,-11,-5,-1,-19,-1,1,124,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,44,94,6,1,0,0,1,2,2
Aug 26-68,2355,901,3481,346,4,-2,-14,52,20,-15,-12,-4,27,-1,-2,8,5,0,0,0,-4,-2,1,-21,-8,24,-17,11,-42,21,-4,-11,-5,-2,-16,-3,0,112,23,17,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 26-69,3070,849,4043,342,1,-3,-15,36,24,-14,-12,0,26,-1,-2,6,3,-1,-1,0,-1,0,-1,-22,-7,15,-16,26,-87,153,-10,-13,-4,-2,-19,-1,-2,124,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 26-70,3277,751,4485,338,5,-3,-14,20,18,-14,-11,0,18,-1,-2,7,5,-1,-1,0,-1,0,2,-29,-6,15,-22,-56,-97,-24,-11,-13,-5,-1,-17,0,-2,129,22,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,2,1
Aug 26-71,2682,820,4776,341,1,-3,-14,42,30,-14,-11,-6,13,-1,-2,8,6,-2,0,0,-1,-1,-2,-30,1,27,-17,7,-77,27,3,-11,-4,-2,-15,-3,-1,119,23,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 26-72,3304,914,5010,257,6,-2,-15,55,31,-14,-12,-6,18,-1,-2,7,6,-1,-2,0,-1,0,1,-24,-4,11,-39,-23,-98,73,-10,-12,-5,-2,-17,-3,-1,128,24,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,5,1,0,0,1,1,1
Aug 26-73,2666,741,3864,223,6,-2,-14,22,15,-14,-12,-2,9,-1,-2,5,3,0,-1,0,-2,-1,-1,-22,1,19,-22,-49,-78,-25,-6,-10,-5,-2,-17,-3,-1,117,22,18,4,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 26-74,2249,821,3522,311,4,-3,-14,43,17,-12,-11,-3,23,-1,-2,6,5,-1,1,-1,-3,-3,-1,-30,1,19,-14,23,-80,-108,-4,-11,-5,-2,-18,-5,1,111,23,17,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,2
Aug 26-75,1335,1307,26726,24111,2976,85,57,667,28196,-38,33,134,418,105,2,124,236,28,259,17,4,5,54,2,24,531,26,51,-339,-351,22,13,9,1432,-1,18,2,466,75,125,101,17,2,2,4,104,17,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,48,63,138,12,3,2,7,2,3,3
Aug 27-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug 27-2,39,-17,-14,-14,4,1,0,4,8,-1,-1,0,0,1,0,0,1,1,1,-1,-2,1,-1,-2,-8,16,3,44,-89,103,-3,-1,1,0,-3,-5,2,114,21,9,2,1,0,1,1,3,2,1,1,1,0,0,0,1,1,1,1,1,1,1,3,3,9,19,39,51,112,6,1,1,1,1,1,2
Aug 27-3,2096,1331,26597,24229,3060,91,54,671,27719,-31,29,129,414,106,2,122,235,30,254,18,6,6,53,12,36,533,25,92,-485,-527,15,16,12,1417,-1,10,5,483,76,126,103,17,2,2,5,103,17,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,48,64,140,11,3,2,7,2,3,3
Aug 27-4,3163,879,4666,326,4,-2,-15,48,28,-14,-12,-3,23,-1,-2,6,6,0,0,-1,-3,-2,-1,-25,-2,20,-19,10,3,60,-13,-13,-4,-2,-19,-4,2,128,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,5,1,0,0,1,1,2
Aug 27-5,3293,929,4792,341,5,-3,-14,51,20,-14,-11,0,30,-1,-2,5,4,-1,0,0,0,-1,1,-21,-5,17,-10,-66,-86,226,-6,-12,-4,-2,-16,-4,-1,128,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-6,2379,1089,3615,404,2,-3,-13,44,46,-13,-12,2,29,-1,-2,8,8,-1,-1,-1,-1,0,-1,-30,-7,31,-29,34,65,359,-4,-12,-5,-2,-19,-4,0,115,25,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 27-7,3823,895,5828,298,1,-3,-14,50,33,-14,-12,-7,18,-1,-2,11,4,-1,0,0,0,-1,-1,-24,-2,16,-3,73,-62,108,-6,-12,-5,-1,-16,-3,-2,135,24,23,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-8,3199,938,4441,314,2,-3,-14,35,24,-15,-12,-1,24,-1,-2,5,4,0,-1,0,-4,1,0,-25,-1,16,-15,9,-17,39,-9,-12,-5,-2,-17,-4,1,126,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-9,2920,924,4683,374,3,-2,-14,28,22,-13,-12,-2,20,-1,-2,8,4,-1,-1,0,0,-1,-2,-24,-5,26,-1,8,-61,27,0,-11,-5,-2,-19,-5,0,123,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-10,2775,1053,4054,232,2,-3,-14,51,33,-14,-12,-4,18,-1,-3,12,6,-1,-1,0,-1,-1,1,-20,-6,23,-4,-69,-145,178,-5,-12,-5,-1,-18,-3,-1,121,25,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,2
Aug 27-11,3366,953,5211,278,2,-3,-13,31,25,-14,-13,-4,28,-1,-2,7,5,-1,-1,0,-1,-1,-1,-24,-3,15,-9,25,-22,210,-6,-13,-4,-2,-17,-4,-2,131,25,22,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 27-12,4219,938,4925,339,5,-2,-15,34,37,-13,-13,-1,19,-1,-1,10,6,0,0,-1,0,0,-2,-22,-7,20,-4,22,-45,-60,-6,-13,-5,-1,-17,-3,2,140,24,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,2
Aug 27-13,2379,849,3995,240,6,-2,-14,41,24,-13,-12,-6,11,-1,-2,9,2,-1,0,0,0,1,1,-26,-5,17,-17,-34,-77,-8,-3,-12,-5,-2,-17,-4,-1,112,23,18,5,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,43,91,6,1,0,0,1,1,1
Aug 27-14,3711,808,4862,277,3,-2,-14,44,18,-15,-12,-4,16,-2,-2,6,8,-1,0,0,0,1,0,-31,-10,24,-36,-51,-39,16,-13,-13,-5,-1,-19,-6,2,133,23,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,5,1,0,0,1,1,2
Aug 27-15,2783,794,4140,271,5,-3,-13,20,21,-14,-12,-3,19,-1,-2,6,2,0,0,1,1,0,-1,-20,-4,12,20,-20,-68,1,-10,-11,-4,-2,-18,-5,-2,121,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 27-16,3672,979,4823,310,4,-2,-14,51,33,-14,-12,-5,19,-1,-1,13,5,-1,-1,0,-2,-2,-1,-30,-7,31,-5,5,32,-34,-6,-13,-4,-2,-17,-1,-3,132,24,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 27-17,3686,874,4263,325,2,-3,-14,53,38,-14,-12,0,19,-1,-2,8,3,-1,-2,-1,-1,2,-1,-22,0,11,-3,-20,6,265,-7,-11,-5,-2,-17,-3,0,133,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 27-18,2708,804,5835,389,5,-2,-15,31,25,-14,-12,-1,20,-1,-2,4,5,-1,-1,-1,0,-1,-2,-22,-2,17,-39,70,-66,-88,-3,-12,-4,-2,-17,-3,0,120,23,23,6,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-19,2349,768,4717,327,4,-2,-13,12,22,-13,-12,-2,28,-1,-2,7,7,-1,0,-1,0,-1,1,-29,-6,18,-8,-18,-21,94,-8,-11,-5,-1,-17,-2,-1,116,23,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 27-20,3754,835,5026,281,4,-2,-13,33,27,-13,-11,-1,24,-1,-2,8,5,-1,-1,0,-2,0,-2,-24,-7,36,-31,-10,-43,-52,1,-12,-5,-2,-17,-3,-1,134,23,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-21,3548,1002,4372,215,4,-2,-14,39,28,-13,-12,-5,21,-1,-2,10,5,-1,-1,0,-2,-1,0,-30,-5,13,-6,29,-80,234,-5,-11,-5,-2,-19,-4,0,131,25,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,2
Aug 27-22,3327,874,4731,277,1,-3,-15,54,43,-14,-13,-6,15,-1,-2,14,3,-1,-1,-1,-1,-1,-1,-23,1,12,-1,23,-40,-18,0,-13,-4,-2,-20,-2,-1,128,23,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-23,4289,747,5445,298,2,-3,-14,43,16,-13,-12,-5,17,-1,-2,5,2,1,0,-1,-2,0,0,-26,-4,16,7,28,-10,71,-8,-13,-4,-3,-16,-2,-3,140,22,22,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-24,2471,1034,3930,413,3,-2,-13,32,41,-14,-12,1,21,-1,-2,13,7,-2,-1,-2,-2,0,2,-26,-10,29,-32,60,-125,156,-2,-10,-4,-2,-19,-2,1,118,25,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 27-25,2810,799,4142,241,3,-2,-15,17,26,-14,-12,-1,11,-1,-2,11,4,-2,0,0,-1,-2,2,-23,-2,28,0,-47,-96,13,-15,-13,-5,-2,-18,-3,-3,119,22,19,5,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 27-26,4038,990,5718,313,3,-3,-14,72,36,-13,-12,-5,22,-1,-2,14,4,-2,-2,0,-4,0,1,-16,1,29,-6,-4,-63,48,-14,-12,-5,-2,-17,0,0,138,25,23,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,5,1,0,0,1,1,2
Aug 27-27,3056,786,4347,269,5,-3,-14,25,15,-13,-11,-1,23,-1,-2,4,2,0,0,0,-1,-2,0,-26,-5,-3,-39,-18,-86,-39,-3,-12,-5,-2,-17,-3,-1,122,22,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,6,1,0,0,1,1,1
Aug 27-28,3481,690,4512,293,7,-2,-15,30,20,-14,-12,-4,12,-1,-2,4,3,-1,0,-1,-3,-1,-1,-29,1,17,-9,0,-83,144,-8,-11,-4,-2,-16,-2,1,128,21,19,5,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 27-29,3163,900,4896,324,5,-2,-14,47,29,-14,-11,-1,21,-1,-2,10,5,0,-2,0,-1,-1,-3,-26,0,10,-14,-20,-37,-29,-7,-13,-5,-2,-17,-1,-1,125,23,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,5,1,0,0,1,1,1
Aug 27-30,3424,977,4416,214,6,-2,-14,57,40,-14,-12,-7,18,-1,-2,9,5,-1,-1,0,-2,-2,-2,-21,-1,11,5,-46,-39,74,5,-12,-5,-2,-16,-4,-1,128,24,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 27-31,3522,1128,5051,349,9,-2,-14,78,30,-13,-11,-2,36,-1,-2,8,6,-2,0,0,-2,-2,-2,-28,-7,14,-19,-15,-90,182,-9,-12,-4,-1,-18,-5,-1,132,26,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,92,6,1,0,0,1,1,1
Aug 27-32,3940,850,5145,255,7,-3,-15,27,20,-14,-12,-4,15,-1,-2,6,3,-1,-2,-1,-3,-1,2,-28,-2,11,1,19,5,-11,0,-13,-4,-2,-17,-1,3,136,23,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,2
Aug 27-33,3131,967,4805,249,2,-3,-15,43,34,-15,-12,-5,15,-1,-2,12,3,-1,0,-1,-1,-2,1,-27,-5,18,-17,-41,24,66,-12,-12,-4,-2,-16,-4,-1,123,24,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,5,1,0,0,1,1,1
Aug 27-34,2799,885,5096,412,7,-2,-15,68,16,-15,-12,-4,23,-1,-2,7,7,0,0,0,1,-3,-1,-23,-4,25,2,-6,-15,141,-8,-12,-5,-2,-18,-4,-2,121,24,21,6,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,91,6,1,0,0,1,1,1
Aug 27-35,3587,743,4059,291,1,-3,-16,28,17,-14,-12,-2,15,-1,-2,10,5,0,0,0,0,-1,1,-27,-2,11,20,0,-112,226,-9,-12,-5,-2,-18,-2,-3,132,22,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-36,2794,856,4041,275,5,-2,-15,60,19,-14,-13,-3,27,-1,-2,10,6,-1,0,0,-2,0,5,-31,-4,26,-6,55,-81,116,-13,-13,-5,-2,-17,-4,0,120,23,18,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 27-37,3183,890,4627,242,1,-3,-15,36,27,-14,-12,-1,21,-1,-2,6,4,-1,-1,-1,-2,1,-1,-26,-9,6,13,5,-90,-27,-7,-12,-5,-2,-17,-1,-1,125,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-38,4197,1053,4324,225,2,-2,-14,49,35,-14,-12,-4,19,-1,-2,6,4,-2,-2,0,0,-1,-3,-26,-1,15,-12,-3,-37,-13,-8,-12,-4,-2,-17,-2,1,139,25,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,2
Aug 27-39,609,1363,26759,24186,3040,90,58,672,28243,-15,30,137,424,122,2,125,239,34,258,16,11,2,47,6,24,538,36,147,-365,-66,32,7,14,1426,-1,17,1,459,76,125,102,17,2,2,5,105,18,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,48,63,139,12,3,2,7,2,3,3
Aug 27-40,2576,769,4067,280,3,-3,-16,28,12,-16,-12,-1,18,-1,-2,4,4,0,0,-1,0,-3,-3,-25,-4,19,-5,16,-22,-138,-7,-12,-4,-1,-19,-4,1,117,22,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 27-41,2969,798,4137,303,1,-2,-14,31,29,-15,-12,-3,16,-1,-2,10,6,-1,-1,0,-3,-2,-2,-24,-2,8,-12,30,-19,-25,-13,-13,-5,-2,-17,-3,1,123,23,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,2
Aug 27-42,2743,849,4281,250,4,-3,-14,49,16,-13,-12,-2,20,-1,-2,9,6,-1,0,0,-1,-2,0,-30,-4,29,19,19,-63,202,-4,-12,-4,-2,-18,-3,-2,119,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 27-43,2402,726,3786,245,4,-3,-15,23,22,-14,-12,-2,10,-1,-2,6,2,-1,-1,-1,-2,-1,0,-32,-6,32,-28,41,-76,29,-13,-12,-4,-2,-18,-5,-2,114,22,18,5,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 27-44,4365,870,4501,267,3,-3,-16,27,17,-15,-12,0,23,-1,-2,5,3,0,0,-1,-2,-3,-2,-25,-2,23,-23,35,-54,31,-14,-11,-5,-2,-18,-5,2,143,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,5,1,0,0,1,1,2
Aug 27-45,3241,898,4840,326,2,-3,-14,33,37,-13,-13,0,23,-1,-2,8,4,-1,0,0,-1,-1,0,-24,-6,27,13,26,20,18,-1,-12,-5,-2,-19,-5,1,128,24,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 27-46,3342,814,4580,218,1,-3,-14,32,26,-12,-12,-1,12,-1,-2,6,1,-2,0,1,-2,-2,-2,-28,1,14,-2,19,-109,81,-7,-12,-5,-1,-18,-3,1,127,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-47,4211,981,5984,331,2,-3,-15,55,33,-13,-12,-5,23,-1,-2,13,7,-2,-1,-1,0,-2,0,-23,3,19,1,-40,-137,40,-4,-13,-5,-2,-15,-5,-1,140,24,23,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-48,3574,734,4089,255,4,-3,-14,37,21,-13,-11,-4,14,-1,-2,3,2,-1,-1,0,-2,-3,0,-26,-2,24,-24,-34,-30,-28,-4,-11,-5,-1,-18,-3,0,131,22,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-49,3718,976,5307,253,3,-3,-14,45,36,-15,-13,-1,29,-1,-2,13,5,0,-1,-1,-1,-3,-4,-29,-7,11,-34,16,71,32,-4,-12,-4,-2,-17,0,0,134,24,22,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,91,6,1,0,0,1,1,2
Aug 27-50,2997,886,4048,234,1,-3,-15,33,27,-15,-11,-3,16,-1,-2,8,2,-1,-1,0,-2,-1,-3,-25,-8,22,-12,80,6,201,0,-13,-5,-1,-19,-3,2,122,23,18,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,2
Aug 27-51,3302,950,4678,275,7,-2,-14,65,25,-13,-11,-6,20,-1,-2,8,5,-1,-1,0,-3,-1,-3,-24,-5,16,-48,31,-77,15,-11,-13,-5,-1,-16,-3,-1,126,24,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,5,1,0,0,1,1,1
Aug 27-52,2574,812,4108,337,6,-3,-15,62,13,-13,-13,-4,24,-1,-2,5,5,-1,0,1,-2,-2,-2,-26,-11,10,-32,23,-43,-93,1,-12,-5,-2,-18,-4,-1,115,22,18,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 27-53,3267,783,4474,280,2,-2,-14,30,31,-15,-11,-3,17,-1,-2,3,4,0,-1,-1,-3,-4,-3,-24,-4,20,-39,-39,-51,97,-6,-11,-5,-2,-16,-3,0,127,22,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,90,6,1,0,0,1,1,1
Aug 27-54,2690,804,4464,252,2,-3,-15,23,24,-14,-12,0,17,-1,-2,5,5,0,0,-1,-3,1,-1,-23,-7,21,-4,8,-68,-20,-10,-13,-5,-2,-17,-4,0,118,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-55,2692,767,4002,245,5,-2,-15,20,17,-15,-13,-2,20,-1,-2,6,6,-1,0,-1,0,0,-1,-30,-2,12,-13,-29,-98,-52,-2,-12,-4,-1,-18,-4,-1,117,22,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,6,1,0,0,1,1,1
Aug 27-56,2809,891,3715,276,3,-3,-15,41,15,-14,-13,-4,20,-1,-2,7,4,-1,-2,-1,-3,-2,-1,-26,-7,14,-8,-30,-33,99,-4,-12,-5,-2,-16,-1,-2,119,23,18,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-57,3983,762,4538,258,3,-2,-14,58,37,-15,-13,-4,19,-1,-2,6,2,-1,-2,-1,-2,-2,-3,-25,-4,9,-26,-44,-80,129,-8,-11,-4,-2,-18,-3,1,135,22,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-58,3482,999,5070,318,2,-3,-14,45,37,-14,-12,-6,20,-1,-2,12,6,-2,0,0,-2,0,-1,-26,-6,30,10,-53,-14,23,-9,-12,-4,-2,-18,-6,0,130,25,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,2
Aug 27-59,4582,963,5272,282,1,-3,-15,76,31,-14,-11,-5,28,-1,-2,14,7,-2,-1,-1,-3,0,-4,-24,-2,22,-6,-7,-89,21,-6,-11,-4,-2,-17,-3,1,144,24,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-60,2861,1082,4257,395,6,-2,-15,63,23,-13,-12,-2,35,-1,-2,7,7,-1,-2,0,-2,1,-2,-23,-3,22,8,-40,-44,90,0,-13,-4,-2,-18,-3,0,121,25,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-61,NA,NA,NA,NA,-3012,1134,996,433,36,NA,-21,95,98,-2,-6,12,4,-2,0,-1,-5,2,-4,-27,-4,20,-18,46,-51,139,-13,-13,-9,-3,7,-5,1,NA,NA,NA,NA,357,288,111,90,50,NA,19,20,14,4,2,2,1,1,1,1,2,2,2,4,4,11,24,48,60,130,8,14,9,4,4,2,2
