STEM_ID,SUBSAMPLE.x,straw_pconc,PAP.x,yield.x,SUBSAMPLE.y,grain_pconc,PAP.y,yield.y
ST50PKT0WCT1,Straw,417,30 kg P,4.67611336,Grain,2969,30 kg P,4.67611336
ST50PKT0WCSK,Straw,344,0 kg P,3.862323492,Grain,4038,0 kg P,3.862323492
ST50PKT0WD9P,Straw,621,30 kg P,4.273026316,Grain,3940,30 kg P,4.273026316
ST50PKT0WDBY,Straw,371,0 kg P,2.294197031,Grain,2799,0 kg P,2.294197031
ST50PKT0WD9K,Straw,386,30 kg P,4.805764411,Grain,3545,30 kg P,4.805764411
ST50PKT0WD7S,Straw,524,30 kg P,3.075657895,Grain,3163,30 kg P,3.075657895
ST50PKT0WD9T,Straw,252,0 kg P,2.382862644,Grain,3031,0 kg P,2.382862644
ST50PKT0WDB8,Straw,247,30 kg P,3.907252888,Grain,3496,30 kg P,3.907252888
ST50PKT0WD9Y,Straw,436,0 kg P,2.232028241,Grain,2489,0 kg P,2.232028241
ST50PKT0WCRF,Straw,402,0 kg P,2.815096953,Grain,3252,0 kg P,2.815096953
ST50PKT0WDBS,Straw,274,0 kg P,2.581835687,Grain,3718,0 kg P,2.581835687
ST50PKT0WDBR,Straw,210,0 kg P,1.756578947,Grain,2340,0 kg P,1.756578947
ST50PKT0WD2Z,Straw,655,30 kg P,4.035087719,Grain,4294,30 kg P,4.035087719
ST50PKT0WD0G,Straw,502,30 kg P,4.448621554,Grain,4197,30 kg P,4.448621554
ST50PKT0WD0Y,Straw,417,0 kg P,2.503373819,Grain,3179,0 kg P,2.503373819
ST50PKT0WD9X,Straw,502,0 kg P,1.902700831,Grain,2035,0 kg P,1.902700831
ST50PKT0WCSC,Straw,670,0 kg P,3.000641849,Grain,3277,0 kg P,3.000641849
ST50PKT0WDBJ,Straw,362,30 kg P,4.186456996,Grain,2379,30 kg P,4.186456996
ST50PKT0WD9Z,Straw,643,0 kg P,1.882220796,Grain,3424,0 kg P,1.882220796
ST50PKT0WCSX,Straw,258,30 kg P,4.318035944,Grain,2666,30 kg P,4.318035944
ST50PKT0WDB3,Straw,720,0 kg P,2.54217274,Grain,3481,0 kg P,2.54217274
ST50PKT0WDBD,Straw,743,30 kg P,4.929396662,Grain,3109,30 kg P,4.929396662
ST50PKT0WD02,Straw,520,0 kg P,3.06322208,Grain,2920,0 kg P,3.06322208
ST50PKT0WDB2,Straw,149,0 kg P,2.970154044,Grain,609,0 kg P,2.970154044
ST50PKT0WCT0,Straw,594,30 kg P,5.41720154,Grain,3675,30 kg P,5.41720154
ST50PKT0WCRM,Straw,366,0 kg P,3.802294197,Grain,2901,0 kg P,3.802294197
ST50PKT0WCR2,Straw,478,30 kg P,4.960839599,NA,NA,NA,NA
ST50PKT0WD9V,Straw,661,0 kg P,1.243421053,Grain,2861,0 kg P,1.243421053
ST50PKT0WD9V,Straw,661,0 kg P,1.243421053,Grain,2520,0 kg P,1.243421053
