TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks
0109JD,756,Aug 22-76,ST50PKT0WD9X,ST50GEN0109JD,Straw,NA
0108FQ,1201,Aug 22-77,ST50PKT0WCSC,ST50GEN0108FQ,Straw,NA
01097T,236,Aug 22-78,ST50PKT0WDBJ,ST50GEN01097T,Straw,NA
0109JJ,550,Aug 22-79,ST50PKT0WD9Z,ST50GEN0109JJ,Straw,NA
0108GP,1262,Aug 22-80,ST50PKT0WCSX,ST50GEN0108GP,Straw,NA
0109JS,219,Aug 22-81,ST50PKT0WDB3,ST50GEN0109JS,Straw,NA
0109K7,1633,Aug 22-82,ST50PKT0WDBD,ST50GEN0109K7,Straw,NA
0108X1,484,Aug 22-83,ST50PKT0WD02,ST50GEN0108X1,Straw,NA
0109JQ,1602,Aug 22-84,ST50PKT0WDB2,ST50GEN0109JQ,Straw,NA
0108GW,166,Aug 22-85,ST50PKT0WCT0,ST50GEN0108GW,Straw,NA
0108JF,787,Aug 22-86,ST50PKT0WCRM,ST50GEN0108JF,Straw,NA
0108N9,1325,Aug 22-87,ST50PKT0WCR2,ST50GEN0108N9,Straw,NA
0109J8,1658,Aug 22-88,ST50PKT0WD9V,ST50GEN0109J8,Straw,NA
0108G5,1175,Aug 22-90,ST50PKT0WCSL,ST50GEN0108G5,Straw,NA
0109JN,1064,Aug 22-91,ST50PKT0WDB1,ST50GEN0109JN,Straw,NA
0108QR,813,Aug 22-92,ST50PKT0WCYL,ST50GEN0108QR,Straw,NA
01092V,550,Aug 22-93,ST50PKT0WD9J,ST50GEN01092V,Straw,NA
0109JB,828,Aug 22-94,ST50PKT0WD9W,ST50GEN0109JB,Straw,NA
0109K3,1449,Aug 22-95,ST50PKT0WDBB,ST50GEN0109K3,Straw,NA
0108YS,190,Aug 22-96,ST50PKT0WD14,ST50GEN0108YS,Straw,NA
0108YN,738,Aug 22-97,ST50PKT0WD10,ST50GEN0108YN,Straw,NA
0108YB,274,Aug 22-98,ST50PKT0WD0V,ST50GEN0108YB,Straw,NA
0108NC,1350,Aug 22-99,ST50PKT0WCR3,ST50GEN0108NC,Straw,NA
0109S0,669,Aug 22-100,ST50PKT0WDLC,ST50GEN0109S0,Straw,NA
01097W,676,Aug 22-101,ST50PKT0WDBK,ST50GEN01097W,Straw,NA
0109SV,1228,Aug 22-102,ST50PKT0WDLV,ST50GEN0109SV,Straw,NA
0109VZ,1259,Aug 22-103,ST50PKT0WDL7,ST50GEN0109VZ,Straw,NA
0108WV,M75-28,Aug 22-104,ST50PKT0WCZZ,ST50GEN0108WV,Straw,NA
0108G7,724,Aug 22-105,ST50PKT0WCSM,ST50GEN0108G7,Straw,NA
0109RW,544,Aug 22-106,ST50PKT0WDL9,ST50GEN0109RW,Straw,NA
01098G,1500,Aug 22-107,ST50PKT0WDBX,ST50GEN01098G,Straw,NA
0109SG,1493,Aug 22-108,ST50PKT0WDLN,ST50GEN0109SG,Straw,NA
010980,683,Aug 22-109,ST50PKT0WDBP,ST50GEN010980,Straw,NA
0108MV,532,Aug 22-110,ST50PKT0WCQV,ST50GEN0108MV,Straw,NA
0108GT,427,Aug 22-111,ST50PKT0WCSZ,ST50GEN0108GT,Straw,NA
010988,1072,Aug 22-112,ST50PKT0WDBT,ST50GEN010988,Straw,NA
01098L,236,Aug 22-113,ST50PKT0WDBZ,ST50GEN01098L,Straw,NA
01098N,676,Aug 22-114,ST50PKT0WDC0,ST50GEN01098N,Straw,NA
01077F,1379,Aug 23-5,ST50PKT0WC47,ST50GEN01077F,Straw,NA
010795,437,Aug 23-6,ST50PKT0WC0D,ST50GEN010795,Straw,NA
01077M,1192,Aug 23-7,ST50PKT0WC4B,ST50GEN01077M,Straw,NA
0108N3,1247,Aug 23-8,ST50PKT0WCQZ,ST50GEN0108N3,Straw,NA
01088C,1223,Aug 23-9,ST50PKT0WCLP,ST50GEN01088C,Straw,NA
