TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks
01098H,1500,Aug 27-98,ST50PKT0WDBX,ST50GEN01098H,Grain,NA
0109KB,1163,Aug 27-99,ST50PKT0WDBF,ST50GEN0109KB,Grain,NA
0108QN,598,Aug 27-100,ST50PKT0WCYJ,ST50GEN0108QN,Grain,NA
0108YC,274,Aug 27-101,ST50PKT0WD0V,ST50GEN0108YC,Grain,NA
0108FW,1646,Aug 27-102,ST50PKT0WCSF,ST50GEN0108FW,Grain,NA
0108ND,1350,Aug 27-103,ST50PKT0WCR3,ST50GEN0108ND,Grain,NA
010983,417,Aug 27-104,ST50PKT0WDBQ,ST50GEN010983,Grain,NA
01098M,236,Aug 27-105,ST50PKT0WDBZ,ST50GEN01098M,Grain,NA
010989,1072,Aug 27-106,ST50PKT0WDBT,ST50GEN010989,Grain,NA
0108GL,434,Aug 27-107,ST50PKT0WCSV,ST50GEN0108GL,Grain,NA
0108GV,427,Aug 27-108,ST50PKT0WCSZ,ST50GEN0108GV,Grain,NA
01098P,676,Aug 27-109,ST50PKT0WDC0,ST50GEN01098P,Grain,NA
01097X,676,Aug 27-110,ST50PKT0WDBK,ST50GEN01097X,Grain,NA
0109JY,683,Aug 27-111,ST50PKT0WDB7,ST50GEN0109JY,Grain,NA
01078W,118,Aug 27-112,ST50PKT0WC05,ST50GEN01078W,Grain,NA
0108XV,484,Aug 27-113,ST50PKT0WD0J,ST50GEN0108XV,Grain,NA
0108Z6,1233,Aug 27-114,ST50PKT0WD1B,ST50GEN0108Z6,Grain,NA
0108XB,808,Aug 27-115,ST50PKT0WD08,ST50GEN0108XB,Grain,NA
0108NV,839,Aug 29-4,ST50PKT0WCRD,ST50GEN0108NV,Grain,NA
01098R,349,Aug 29-5,ST50PKT0WD7T,ST50GEN01098R,Grain,NA
0108PK,410,Aug 29-6,ST50PKT0WCXX,ST50GEN0108PK,Grain,NA
0108YY,588,Aug 29-7,ST50PKT0WD16,ST50GEN0108YY,Grain,NA
0109HZ,1602,Aug 29-8,ST50PKT0WD9M,ST50GEN0109HZ,Grain,NA
01098F,1163,Aug 29-9,ST50PKT0WDBW,ST50GEN01098F,Grain,NA
0108FM,1260,Aug 29-10,ST50PKT0WCS9,ST50GEN0108FM,Grain,NA
0109J9,1658,Aug 29-11,ST50PKT0WD9V,ST50GEN0109J9,Grain,NA
0109J7,WESTONIA,Aug 29-12,ST50PKT0WD9T,ST50GEN0109J7,Grain,NA
0109J5,1442,Aug 29-13,ST50PKT0WD9S,ST50GEN0109J5,Grain,NA
0108PW,598,Aug 29-14,ST50PKT0WCY2,ST50GEN0108PW,Grain,NA
01078K,1445,Aug 29-15,ST50PKT0WC4V,ST50GEN01078K,Grain,NA
01088B,1158,Aug 29-16,ST50PKT0WCLN,ST50GEN01088B,Grain,NA
0109SC,1035,Aug 29-17,ST50PKT0WDLL,ST50GEN0109SC,Grain,NA
01078F,1192,Aug 29-18,ST50PKT0WC4S,ST50GEN01078F,Grain,NA
0109VF,1302,Aug 29-19,ST50PKT0WDKW,ST50GEN0109VF,Grain,NA
0109HV,177,Aug 29-20,ST50PKT0WD9K,ST50GEN0109HV,Grain,NA
0108Q8,408,Aug 29-21,ST50PKT0WCYB,ST50GEN0108Q8,Grain,NA
0108ZD,1532,Aug 29-22,ST50PKT0WD31,ST50GEN0108ZD,Grain,NA
0109TL,531,Aug 29-23,ST50PKT0WDNM,ST50GEN0109TL,Grain,NA
010796,437,Aug 29-24,ST50PKT0WC0D,ST50GEN010796,Grain,NA
0108GX,166,Aug 29-25,ST50PKT0WCT0,ST50GEN0108GX,Grain,NA
01078R,M76-79,Aug 29-26,ST50PKT0WC03,ST50GEN01078R,Grain,NA
0108J8,1325,Aug 29-27,ST50PKT0WCRJ,ST50GEN0108J8,Grain,NA
0107RJ,1217,Aug 29-28,ST50PKT0WCCY,ST50GEN0107RJ,Grain,NA
01077L,1301,Aug 29-29,ST50PKT0WC49,ST50GEN01077L,Grain,NA
01079Q,1051,Aug 29-30,ST50PKT0WC0Q,ST50GEN01079Q,Grain,NA
01077Z,M76-79,Aug 29-31,ST50PKT0WC4H,ST50GEN01077Z,Grain,NA
01088Q,1194,Aug 29-32,ST50PKT0WCLV,ST50GEN01088Q,Grain,NA
010781,737,Aug 29-33,ST50PKT0WC4J,ST50GEN010781,Grain,NA
0108G8,724,Aug 29-34,ST50PKT0WCSM,ST50GEN0108G8,Grain,NA
01079N,139,Aug 29-35,ST50PKT0WC0M,ST50GEN01079N,Grain,NA
0108XN,M75-28,Aug 29-36,ST50PKT0WD0F,ST50GEN0108XN,Grain,NA
01088X,177,Aug 29-37,ST50PKT0WCLY,ST50GEN01088X,Grain,NA
0109R6,531,Aug 29-38,ST50PKT0WDN5,ST50GEN0109R6,Grain,NA
01088V,857,Aug 29-39,ST50PKT0WCLX,ST50GEN01088V,Grain,NA
01088D,1223,Aug 29-40,ST50PKT0WCLP,ST50GEN01088D,Grain,NA
0109JF,756,Aug 29-41,ST50PKT0WD9X,ST50GEN0109JF,Grain,NA
01088L,430,Aug 29-42,ST50PKT0WCLS,ST50GEN01088L,Grain,NA
0108JB,1350,Aug 29-43,ST50PKT0WCRK,ST50GEN0108JB,Grain,NA
01092R,756,Aug 29-44,ST50PKT0WD9G,ST50GEN01092R,Grain,NA
010787,1379,Aug 29-45,ST50PKT0WC4P,ST50GEN010787,Grain,NA
0108N4,1247,Aug 29-46,ST50PKT0WCQZ,ST50GEN0108N4,Grain,NA
01077S,1445,Aug 29-47,ST50PKT0WC4D,ST50GEN01077S,Grain,NA
0107H0,258,Aug 29-48,ST50PKT0WC0Y,ST50GEN0107H0,Grain,NA
010798,1495,Aug 29-49,ST50PKT0WC0F,ST50GEN010798,Grain,NA
01077N,1192,Aug 29-51,ST50PKT0WC4B,ST50GEN01077N,Grain,NA
01077G,1379,Aug 29-52,ST50PKT0WC47,ST50GEN01077G,Grain,NA
0108NG,1547,Aug 29-53,ST50PKT0WCR4,ST50GEN0108NG,Grain,NA
0108NQ,1528,Aug 29-54,ST50PKT0WCRB,ST50GEN0108NQ,Grain,NA
0108XL,1212,Aug 29-55,ST50PKT0WD0D,ST50GEN0108XL,Grain,NA
01079L,1610,Aug 29-56,ST50PKT0WC0L,ST50GEN01079L,Grain,NA
0108QD,882,Aug 29-57,ST50PKT0WCYD,ST50GEN0108QD,Grain,NA
0107RN,976,Aug 29-58,ST50PKT0WCD2,ST50GEN0107RN,Grain,NA
0108X6,1187,Aug 29-59,ST50PKT0WD04,ST50GEN0108X6,Grain,NA
0109VT,1306,Aug 29-60,ST50PKT0WDL4,ST50GEN0109VT,Grain,NA
01088G,M76-116,Aug 29-61,ST50PKT0WCLQ,ST50GEN01088G,Grain,NA
0109TN,1176,Aug 29-62,ST50PKT0WDNN,ST50GEN0109TN,Grain,NA
0108JD,1547,Aug 29-63,ST50PKT0WCRL,ST50GEN0108JD,Grain,NA
01077D,742,Aug 29-64,ST50PKT0WC46,ST50GEN01077D,Grain,NA
0107R4,718,Aug 29-65,ST50PKT0WCCR,ST50GEN0107R4,Grain,NA
01077X,806,Aug 29-66,ST50PKT0WC4G,ST50GEN01077X,Grain,NA
010785,742,Aug 29-67,ST50PKT0WC4N,ST50GEN010785,Grain,NA
0108N6,438,Aug 29-68,ST50PKT0WCR0,ST50GEN0108N6,Grain,NA
01078Y,1051,Aug 29-69,ST50PKT0WC08,ST50GEN01078Y,Grain,NA
0108XJ,1265,Aug 29-70,ST50PKT0WD0C,ST50GEN0108XJ,Grain,NA
010783,118,Aug 29-71,ST50PKT0WC4K,ST50GEN010783,Grain,NA
0109S9,962,Aug 29-72,ST50PKT0WDLK,ST50GEN0109S9,Grain,NA
01077J,1148,Aug 29-73,ST50PKT0WC48,ST50GEN01077J,Grain,NA
010794,M75-28,Aug 29-74,ST50PKT0WC0C,ST50GEN010794,Grain,NA
0108X8,1148,Aug 29-75,ST50PKT0WD07,ST50GEN0108X8,Grain,NA
0109RG,1285,Aug 29-76,ST50PKT0WDN9,ST50GEN0109RG,Grain,NA
0108GD,1260,Aug 29-77,ST50PKT0WCSR,ST50GEN0108GD,Grain,NA
01077Q,789,Aug 29-78,ST50PKT0WC4C,ST50GEN01077Q,Grain,NA
0109V3,1274,Aug 29-79,ST50PKT0WDKQ,ST50GEN0109V3,Grain,NA
0108NZ,438,Aug 29-80,ST50PKT0WCRG,ST50GEN0108NZ,Grain,NA
0108X0,M73-13,Aug 29-81,ST50PKT0WD01,ST50GEN0108X0,Grain,NA
