STEM_ID,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
ST50PKT0WDBQ,York,2018,31,11,0 kg P,1,16,BT 4-Way MAGIC,CAV4080417,York_2018,CAV4080417,1.508344031,6.57,225.76,86.4,0.3827073
ST50PKT0WDBP,York,2018,31,12,0 kg P,1,16,BT 4-Way MAGIC,CAV4080683,York_2018,CAV4080683,2.065789474,7.88,154.79,59.7,0.38568383
ST50PKT0WDBL,York,2018,32,1,30 kg P,1,16,BT 4-Way MAGIC,CAV4080349,York_2018,CAV4080349,4.203947368,14.17,231.41,70,0.30249341
ST50PKT0WDBK,York,2018,32,2,30 kg P,1,16,BT 4-Way MAGIC,CAV4080676,York_2018,CAV4080676,5.020242915,11.12,312.7,126.8,0.40550048
ST50PKT0WDBJ,York,2018,32,3,30 kg P,1,16,BT 4-Way MAGIC,CAV4080236,York_2018,CAV4080236,4.186456996,13.82,144.11,54.5,0.378183332
ST50PKT0WDBH,York,2018,32,4,30 kg P,1,16,BT 4-Way MAGIC,CAV4080399,York_2018,CAV4080399,4.009784076,11.18,312.1,117.8,0.377443127
ST50PKT0WDBG,York,2018,32,5,30 kg P,1,16,BT 4-Way MAGIC,CAV4081500,York_2018,CAV4081500,4.053884712,14.83,303.58,96.9,0.319190988
ST50PKT0WDBF,York,2018,32,6,30 kg P,1,16,BT 4-Way MAGIC,CAV4081163,York_2018,CAV4081163,3.955391528,12.75,258.99,100.1,0.386501409
ST50PKT0WDBD,York,2018,32,7,30 kg P,1,16,BT 4-Way MAGIC,CAV4081633,York_2018,CAV4081633,4.929396662,12.85,312.05,117.9,0.377824067
ST50PKT0WDBC,York,2018,32,8,30 kg P,1,16,BT 4-Way MAGIC,CAV4081072,York_2018,CAV4081072,3.817520776,12.01,231.44,78.7,0.340044936
ST50PKT0WDBB,York,2018,32,9,30 kg P,1,16,BT 4-Way MAGIC,CAV4081449,York_2018,CAV4081449,4.815468549,11.84,351.28,139.6,0.39740378
ST50PKT0WDB9,York,2018,32,10,30 kg P,1,16,BT 4-Way MAGIC,CAV4080886,York_2018,CAV4080886,3.980263158,14.65,221.69,74.3,0.335152691
ST50PKT0WDB8,York,2018,32,11,30 kg P,1,16,BT 4-Way MAGIC,CAV4080417,York_2018,CAV4080417,3.907252888,13.02,292.63,109.9,0.37555958
ST50PKT0WDB7,York,2018,32,12,30 kg P,1,16,BT 4-Way MAGIC,CAV4080683,York_2018,CAV4080683,4.623355263,11.96,281.99,89.1,0.315968651
ST50PKT0WDB4,York,2018,33,1,0 kg P,1,17,BT 4-Way MAGIC,CAV4081018,York_2018,CAV4081018,2.338815789,6.92,158.29,72.3,0.456756586
ST50PKT0WDB3,York,2018,33,2,0 kg P,1,17,BT 4-Way MAGIC,CAV4080219,York_2018,CAV4080219,2.54217274,10.33,165.38,63.7,0.38517354
ST50PKT0WDB2,York,2018,33,3,0 kg P,1,17,BT 4-Way MAGIC,CAV4081602,York_2018,CAV4081602,2.970154044,9.38,169.24,56.8,0.335618057
ST50PKT0WDB1,York,2018,33,4,0 kg P,1,17,BT 4-Way MAGIC,CAV4081064,York_2018,CAV4081064,2.879554656,10.59,272.97,103.7,0.379895227
ST50PKT0WDB0,York,2018,33,5,0 kg P,1,17,BT 4-Way MAGIC,CAV4080177,York_2018,CAV4080177,2.694235589,11.04,184.75,69.4,0.37564276
ST50PKT0WD9Z,York,2018,33,6,0 kg P,1,17,BT 4-Way MAGIC,CAV4080550,York_2018,CAV4080550,1.882220796,8.5,157.82,48.1,0.304777595
ST50PKT0WD9Y,York,2018,33,7,0 kg P,1,17,BT 4-Way MAGIC,CAV4080253,York_2018,CAV4080253,2.232028241,10.94,87.38,24.7,0.282673381
ST50PKT0WD9X,York,2018,33,8,0 kg P,1,17,BT 4-Way MAGIC,CAV4080756,York_2018,CAV4080756,1.902700831,9.27,142.17,51.7,0.363649152
ST50PKT0WD9W,York,2018,33,9,0 kg P,1,17,BT 4-Way MAGIC,CAV4080828,York_2018,CAV4080828,2.063543004,9.96,147,47,0.319727891
